,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,5.82,0.08,0.07,0.06,0.06,0.09,0.3,0.24,0.79,,0.38,0.37,0.34,0.55,0.47,0.66
f_1,0.07,5.83,0.16,0.08,0.09,0.1,0.29,0.26,0.31,0.31,0.34,,0.28,0.82,0.26,0.42
e_1,0.07,0.09,6.26,0.09,0.07,0.05,0.35,0.23,0.39,0.77,0.36,0.35,0.4,0.38,,0.41
c_1,0.08,0.06,0.07,6.49,0.15,0.05,0.34,0.19,,0.37,0.37,0.44,0.43,0.63,0.5,0.59
b_1,0.08,0.07,0.09,0.09,7.19,0.12,0.21,0.39,0.34,0.41,,0.42,0.3,0.56,0.34,0.54
a_1,0.09,0.09,0.06,0.08,0.07,11.11,0.27,0.29,0.49,0.31,0.27,0.35,,0.71,,0.49
h_1,0.3,0.38,0.16,0.25,0.23,0.31,13.82,1.46,1.68,1.28,1.63,1.34,1.87,,1.79,2.49
g_1,0.54,0.27,0.29,0.25,0.34,0.26,0.67,17.09,1.06,0.87,1.65,2.28,1.4,1.57,1.68,
c_0,0.37,0.46,0.35,,0.34,0.27,1.68,1.57,12.22,2.15,3.04,2.17,1.46,2.41,1.93,2.62
d_0,,0.41,0.4,0.8,0.3,0.39,1.36,1.31,1.42,12.86,1.77,1.79,1.48,3.24,2.07,3.24
b_0,0.37,0.37,0.18,0.31,,0.3,1.92,0.98,2.03,2.87,14.57,2.23,2.79,3.52,1.44,3.04
f_0,0.44,,0.4,0.31,0.42,0.37,1.39,1.29,2.05,1.86,2.15,14.28,1.77,2.72,3.12,3.54
a_0,0.31,0.41,0.44,0.38,0.44,,1.74,1.4,1.2,1.94,1.55,1.56,19.46,3.65,2.1,2.38
h_0,0.65,0.75,0.63,0.47,0.58,0.68,,3.81,1.98,2.6,2.49,1.99,2.95,,1.8,6.51
e_0,0.35,0.49,,0.37,0.28,0.43,1.86,1.59,2.2,1.98,1.77,1.9,1.8,3.0,20.03,2.71
g_0,0.59,0.39,0.59,0.76,0.5,0.49,2.12,,3.01,2.3,2.92,4.01,3.17,5.24,2.88,
