,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.18,0.11,0.11,0.08,0.06,0.07,0.05,0.08,0.06,0.05,,0.06,0.03,0.04,0.03
e_1,0.1,0.93,0.09,0.1,0.06,0.05,0.07,0.06,0.07,0.11,0.07,0.06,0.06,0.05,0.04,
d_1,0.11,0.11,0.93,0.08,0.08,0.07,0.07,0.06,0.11,,0.06,0.06,0.07,0.03,0.05,0.04
c_1,0.11,0.11,0.12,0.93,0.13,0.06,0.08,0.07,,0.06,0.05,0.07,0.06,0.06,0.05,0.04
b_1,0.13,0.16,0.14,0.1,0.93,0.09,0.06,0.07,0.06,0.07,,0.05,0.08,0.05,0.06,0.04
a_1,0.11,0.15,0.13,0.12,0.1,0.93,0.1,,0.06,0.07,0.07,0.06,0.09,,0.06,
h_1,0.4,0.28,0.26,0.22,0.3,0.14,0.71,0.22,0.16,0.2,0.16,0.14,,0.11,0.19,0.11
g_1,0.37,0.27,0.38,0.29,0.18,,0.21,0.71,0.18,0.19,0.18,0.22,0.15,0.12,,0.13
c_0,0.37,0.35,0.28,,0.29,0.25,0.33,0.22,0.58,0.14,0.39,0.2,0.22,0.14,0.16,0.14
d_0,0.39,0.36,,0.55,0.31,0.24,0.25,0.16,0.26,0.57,0.19,0.21,0.2,0.11,0.21,0.13
b_0,0.38,0.35,0.39,0.35,,0.2,0.32,0.23,0.15,0.27,0.58,0.17,0.19,0.27,0.2,0.13
f_0,,0.29,0.4,0.35,0.35,0.24,0.26,0.18,0.26,0.24,0.23,0.58,0.19,0.21,0.13,0.28
h_0,0.61,0.5,0.41,0.46,0.33,0.24,,0.33,0.3,0.29,0.32,0.31,,0.21,0.34,0.18
a_0,0.57,0.38,0.49,0.32,0.27,,0.32,0.25,0.21,0.31,0.18,0.22,0.2,0.58,0.17,0.19
g_0,0.49,0.52,0.68,0.45,0.28,0.4,0.25,,0.39,0.32,0.31,0.43,0.28,0.23,,
e_0,0.54,,0.37,0.39,0.44,,0.27,0.24,0.27,0.3,0.26,0.17,0.29,0.22,,0.58
