,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.39,0.25,0.37,0.28,0.32,0.22,0.61,0.37,0.7,0.71,0.63,,0.77,0.64,0.57,0.65
d_1,0.3,2.44,0.24,0.25,0.23,0.24,0.62,0.52,0.96,,0.59,0.84,0.67,0.59,0.79,0.61
e_1,0.28,0.28,2.45,0.22,0.26,0.26,0.58,0.51,0.59,0.98,0.53,0.55,0.85,0.51,0.84,
c_1,0.31,0.26,0.32,2.61,0.4,0.33,0.49,0.5,,0.67,0.46,0.62,0.73,0.6,0.81,0.57
b_1,0.26,0.36,0.24,0.31,2.72,0.43,0.59,0.5,0.54,0.59,,0.61,0.78,0.47,0.55,0.71
a_1,0.35,0.27,0.32,0.19,0.21,3.1,0.69,0.56,0.6,0.52,,,0.84,,0.73,
h_1,0.6,0.46,0.53,0.62,0.54,0.44,3.7,1.19,1.37,1.23,1.27,1.1,,0.86,1.99,1.31
g_1,0.63,0.69,0.49,0.5,0.55,0.53,0.97,4.19,1.22,0.8,1.27,1.53,1.43,1.5,,
c_0,0.62,0.55,0.63,,0.54,0.65,1.14,1.34,3.49,1.5,2.36,1.62,1.76,,1.85,1.02
d_0,0.66,,0.52,1.02,0.59,0.68,1.07,1.66,1.12,3.54,1.75,1.22,1.67,1.2,1.41,1.7
b_0,0.52,0.71,0.68,0.6,,,1.27,1.04,1.11,1.36,3.8,1.69,2.19,2.52,1.75,1.54
f_0,,0.55,0.64,0.62,0.71,,1.32,1.39,1.22,1.56,1.34,3.9,1.87,1.25,1.63,2.15
h_0,0.73,0.91,0.76,0.81,0.69,0.81,,1.75,1.95,1.62,1.46,1.38,,1.81,2.61,1.58
a_0,0.52,0.68,0.78,0.6,0.71,,1.45,0.95,,1.29,0.9,1.35,1.97,4.8,1.81,
g_0,0.83,0.93,0.63,0.69,0.83,0.85,1.14,,1.55,2.05,1.52,2.17,1.71,1.91,,2.01
e_0,0.52,0.61,,0.68,0.64,,1.18,,1.73,1.02,1.46,1.27,1.95,,1.71,4.73
