,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.13,2.03,3.93,2.31,2.02,1.75,7.18,7.03,8.78,10.28,9.91,6.94,14.76,9.98,7.47,14.47
d_1,2.56,6.22,2.0,1.84,2.05,2.26,8.6,9.0,17.82,6.29,13.34,11.23,14.76,13.0,12.23,14.25
e_1,2.44,1.91,6.49,2.79,2.06,2.02,8.47,8.32,9.77,18.51,10.0,11.09,17.39,10.04,8.58,16.37
c_1,2.24,1.92,2.01,6.76,4.09,2.05,8.04,6.94,5.59,9.8,7.74,10.25,15.17,10.43,9.77,15.82
b_1,2.07,2.35,2.01,2.0,7.5,4.68,7.18,7.26,7.86,9.46,5.85,10.75,15.04,8.07,11.11,18.3
a_1,2.49,2.22,2.01,2.39,2.32,10.92,9.93,8.52,10.91,8.87,10.57,11.55,18.14,6.08,12.17,17.23
h_1,3.27,2.5,2.35,2.8,1.8,2.3,19.73,11.73,10.89,9.37,12.37,10.33,13.5,11.95,11.87,23.93
g_1,2.21,3.82,1.87,2.34,2.36,2.35,8.54,21.34,11.49,9.02,11.74,17.61,15.48,11.29,14.28,15.11
c_0,2.91,3.06,2.4,2.12,1.7,1.96,8.82,10.43,19.05,11.39,21.77,13.14,19.97,15.66,12.28,18.75
d_0,2.35,1.72,2.21,4.59,2.45,2.08,9.66,9.02,7.96,18.02,12.7,11.89,16.1,12.6,11.92,16.48
b_0,2.58,2.95,2.5,2.96,1.38,1.8,9.25,9.46,12.54,11.03,21.53,13.12,18.9,23.26,12.05,17.87
f_0,2.04,2.85,1.91,2.9,2.34,2.43,8.91,8.55,12.31,12.92,13.48,21.28,18.94,13.55,27.74,19.99
h_0,3.51,2.93,2.51,2.09,2.2,2.25,5.73,12.78,12.15,10.51,11.3,11.5,14.25,10.24,12.11,23.7
a_0,2.49,2.6,2.64,2.99,2.16,1.67,7.67,9.52,11.27,11.77,11.77,12.66,18.6,25.62,15.42,16.58
e_0,2.77,2.49,1.97,2.36,2.59,2.68,9.99,10.15,13.6,11.21,14.86,11.62,19.03,15.28,26.67,18.36
g_0,2.23,3.9,2.26,2.39,1.95,2.42,7.98,7.3,11.25,9.02,12.43,17.9,18.52,10.68,13.77,14.84
