,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.98,1.33,0.67,0.8,0.64,0.57,0.93,0.78,0.8,0.95,0.94,0.56,0.87,0.89,0.72,0.85
e_1,0.76,2.04,0.71,0.96,0.7,0.7,0.91,0.92,0.8,1.66,1.01,1.01,1.1,0.97,0.72,0.98
d_1,0.74,0.68,2.32,0.55,0.7,0.66,1.02,1.13,1.74,0.56,1.13,1.09,1.0,1.11,1.02,1.19
c_1,0.78,0.6,0.78,2.31,1.39,0.68,0.83,0.93,0.52,0.91,0.65,0.91,0.87,0.99,0.9,0.84
b_1,0.72,0.73,0.71,0.69,2.51,1.62,0.92,0.88,0.86,0.83,0.65,0.92,0.88,0.76,0.96,0.87
a_1,0.92,0.71,0.84,0.88,0.62,3.43,1.02,0.91,1.01,1.01,1.04,1.09,1.12,0.55,1.16,0.76
h_1,1.21,0.79,0.93,0.7,0.77,0.77,2.09,1.14,1.03,0.9,1.02,0.99,0.82,0.93,1.04,1.49
g_1,0.74,0.68,1.27,0.8,0.84,0.73,1.05,2.5,1.12,0.68,1.15,1.73,1.24,1.11,1.13,0.91
c_0,0.9,0.82,0.94,0.64,0.64,0.7,1.11,1.02,1.87,1.07,2.12,1.13,1.16,1.36,1.16,1.33
d_0,0.91,0.78,0.53,1.54,0.8,0.72,0.94,1.03,0.61,1.51,1.01,1.0,1.22,1.11,1.16,1.07
b_0,0.98,0.68,0.93,0.89,0.66,0.56,1.12,0.95,1.22,0.89,1.95,1.05,1.2,2.19,1.31,1.24
f_0,0.8,0.62,0.91,0.83,0.8,0.85,1.2,1.17,1.24,1.01,1.34,2.3,1.26,1.26,2.47,1.3
h_0,1.13,0.79,0.92,0.92,0.76,0.58,0.74,1.39,1.02,1.0,1.04,1.17,0.8,1.13,1.33,1.43
a_0,0.93,0.81,0.79,0.93,0.88,0.58,1.24,1.01,1.05,1.02,1.19,1.17,1.27,2.16,1.33,1.37
e_0,1.14,0.69,0.89,0.95,0.62,0.75,1.28,1.12,1.2,0.98,1.19,1.22,1.22,1.22,2.54,1.2
g_0,0.64,0.71,1.34,0.82,0.78,0.82,1.0,0.98,1.22,0.79,1.12,1.8,1.02,0.96,1.25,1.0
