,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.78,0.69,0.5,0.69,0.52,0.52,0.85,0.94,1.75,1.03,1.04,1.0,0.9,1.05,1.0,0.69
f_1,1.01,2.76,0.67,0.62,0.47,0.61,0.99,0.76,0.84,0.73,1.01,0.35,0.95,0.75,1.02,0.59
d_1,0.57,0.68,2.99,0.5,0.62,0.63,0.94,0.93,0.32,1.82,1.17,0.97,1.04,1.02,0.89,0.81
c_1,0.6,0.67,0.57,3.07,1.14,0.41,0.83,0.77,0.86,0.3,0.61,0.94,0.83,1.03,0.9,0.97
b_1,0.61,0.64,0.65,0.58,3.66,1.1,0.78,0.75,0.75,0.68,0.31,0.97,0.78,0.92,0.78,0.87
a_1,0.5,0.55,0.67,0.77,0.56,5.33,1.01,0.93,0.93,1.0,0.96,0.86,0.35,1.14,0.96,1.4
h_1,0.77,0.95,0.7,0.76,0.74,0.48,2.96,1.36,1.13,1.15,1.22,1.1,1.07,0.78,1.46,1.25
g_1,0.66,0.48,1.16,0.84,0.69,0.81,1.01,3.28,0.91,1.1,1.01,1.96,1.03,0.97,0.69,1.2
d_0,0.74,0.75,0.47,1.38,0.69,0.68,0.97,1.14,2.29,0.76,1.11,1.3,0.95,1.18,1.06,1.29
c_0,0.72,0.89,0.91,0.49,0.55,0.81,1.02,1.14,1.03,2.38,2.11,1.35,1.45,1.27,1.2,1.12
b_0,0.67,0.88,0.79,0.82,0.34,0.83,1.1,1.31,1.18,1.05,2.71,1.37,2.4,1.34,1.5,1.22
f_0,0.54,0.44,0.98,0.86,0.68,0.78,1.41,1.43,1.26,1.2,1.32,2.71,1.52,1.39,1.24,2.75
a_0,0.68,0.8,1.03,0.73,0.63,0.31,1.18,1.2,1.11,0.99,1.44,1.34,3.33,0.98,1.49,1.55
h_0,0.63,1.1,0.85,0.75,0.72,0.72,0.56,1.33,0.97,1.07,1.01,0.96,1.37,0.59,1.68,1.09
g_0,0.68,0.62,1.18,0.64,0.83,0.67,0.94,0.88,1.22,1.26,1.05,1.99,1.34,1.35,0.8,1.26
e_0,0.33,0.95,0.83,0.89,0.9,0.78,1.17,1.17,1.24,1.03,1.1,1.34,1.04,1.25,1.13,3.62
