,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.54,1.41,0.98,0.93,0.85,0.78,1.1,1.04,1.3,1.08,0.93,1.1,1.15,0.8,1.04,1.16
e_1,0.99,1.54,1.26,0.89,0.98,0.86,1.1,1.08,1.81,1.09,1.26,1.08,1.26,0.89,1.08,1.2
c_1,1.05,0.91,1.56,1.04,1.49,0.71,1.2,1.08,0.97,0.88,1.12,0.88,1.29,1.06,0.98,1.19
d_1,1.11,1.04,0.86,1.58,0.93,0.8,1.22,0.98,1.11,1.81,1.15,1.26,1.3,1.07,1.02,1.26
b_1,1.11,1.05,0.93,0.99,1.62,1.49,1.32,1.07,1.11,1.14,1.15,0.99,1.25,1.07,0.92,1.21
a_1,1.22,1.19,1.29,1.14,0.77,1.79,1.34,1.31,1.43,1.17,1.38,1.39,1.47,1.21,1.0,1.23
h_1,1.55,1.24,1.2,1.28,1.09,0.9,1.87,1.57,1.44,1.35,1.41,1.41,1.46,1.21,1.18,1.69
g_1,1.28,1.25,1.26,1.72,1.13,0.94,1.39,1.94,1.32,1.56,1.91,1.45,1.46,1.42,1.25,1.36
d_0,1.32,1.13,1.97,1.07,1.37,1.0,1.47,1.5,1.77,1.14,1.53,1.34,1.69,1.21,1.3,1.39
c_0,1.5,1.36,1.36,1.24,1.08,1.05,1.45,1.43,1.68,1.88,1.41,2.26,1.86,1.55,1.6,1.71
f_0,1.3,1.18,1.45,1.45,1.29,1.04,1.58,1.26,1.51,1.47,1.9,1.56,1.76,2.07,1.27,1.46
b_0,1.49,1.4,1.47,1.44,0.99,0.88,1.49,1.6,1.69,1.38,1.41,1.88,1.9,1.33,2.18,1.52
h_0,1.72,1.32,1.37,1.39,1.23,0.97,1.47,1.83,1.63,1.43,1.48,1.53,1.65,1.38,1.43,1.79
e_0,1.64,1.35,1.3,1.48,1.36,1.12,1.67,1.53,1.57,1.59,1.57,1.82,1.96,1.93,1.38,1.48
a_0,1.55,1.27,1.48,1.6,1.28,0.93,1.64,1.74,1.67,1.6,1.61,1.4,1.93,1.47,1.88,1.61
g_0,1.33,1.3,1.4,1.69,1.37,1.07,1.52,1.42,1.7,1.66,2.03,1.74,1.76,1.7,1.56,1.46
