,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.07,1.01,0.88,0.89,0.8,0.72,0.59,0.83,0.61,0.72,0.61,0.58,0.55,0.58,0.52
f_1,0.92,1.0,1.24,1.01,0.91,0.77,0.59,0.71,0.56,0.68,0.54,0.58,0.54,0.53,0.45,0.55
e_1,1.01,0.81,1.0,1.18,0.98,0.85,0.75,0.64,0.7,0.91,0.69,0.71,0.66,0.57,0.63,0.63
c_1,1.12,1.04,0.86,1.0,1.25,0.86,0.75,0.66,0.62,0.47,0.56,0.63,0.55,0.65,0.6,0.58
b_1,1.14,1.05,1.02,0.8,1.0,1.25,0.74,0.75,0.7,0.66,0.66,0.68,0.56,0.68,0.63,0.63
a_1,1.24,1.27,1.12,1.17,0.82,1.0,0.87,0.93,0.79,0.84,0.88,0.77,0.77,0.81,0.7,0.65
h_1,1.38,1.66,1.31,1.35,1.31,1.15,1.0,1.04,0.83,0.86,0.84,0.82,0.82,0.81,0.8,0.88
g_1,1.69,1.45,1.46,1.59,1.33,1.07,0.96,1.0,0.98,0.92,0.95,1.04,0.82,0.75,0.87,0.84
c_0,1.2,1.72,1.44,1.64,1.44,1.29,1.17,1.0,1.0,1.2,1.31,0.96,1.05,0.88,0.94,0.88
d_0,1.57,1.44,1.12,2.08,1.58,1.22,1.16,1.08,0.88,1.0,0.92,1.0,0.9,0.94,0.9,0.93
b_0,1.35,1.8,1.43,1.77,1.59,1.13,1.19,1.06,0.79,1.08,1.0,1.04,1.34,1.04,0.95,0.97
f_0,1.65,1.79,1.36,1.58,1.47,1.27,1.19,0.93,1.02,1.0,0.99,1.0,0.92,0.96,1.17,0.8
a_0,1.7,1.81,1.59,1.86,1.82,1.3,1.28,1.21,0.98,1.06,0.77,1.05,1.0,1.02,0.93,0.95
h_0,1.74,1.92,1.73,1.51,1.49,1.24,1.24,1.35,1.14,1.09,0.99,1.0,0.96,1.0,0.96,1.04
e_0,1.64,2.22,1.64,1.69,1.58,1.31,1.26,1.19,1.07,1.09,1.09,0.83,1.08,1.05,1.0,0.91
g_0,1.97,1.8,1.61,1.69,1.5,1.5,1.16,1.19,1.17,1.0,1.05,1.23,1.06,0.91,1.07,1.0
