,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.36,0.68,0.65,0.8,0.81,0.79,1.59,1.61,3.04,1.45,1.91,1.66,2.15,1.81,0.9,1.64
f_1,1.2,2.39,0.79,0.76,0.7,0.59,1.41,1.41,1.53,1.46,0.77,1.75,1.88,1.39,1.4,2.38
d_1,0.79,0.75,2.52,0.59,0.85,0.83,1.36,1.44,1.04,2.8,1.7,1.8,2.4,1.46,1.8,1.76
c_1,0.67,0.83,0.84,2.65,1.18,0.62,1.3,1.35,1.33,0.66,1.65,1.31,2.11,1.91,2.06,2.16
b_1,0.75,0.85,0.61,0.66,2.75,1.25,1.65,1.66,1.64,1.9,1.93,0.96,2.2,1.56,1.56,2.11
a_1,0.66,0.93,0.74,0.97,0.61,3.4,1.63,1.19,1.63,1.72,1.7,1.69,1.65,0.8,1.23,2.46
h_1,0.93,1.17,1.17,1.1,0.91,0.85,3.78,2.38,2.11,2.19,2.06,2.11,1.72,1.84,2.36,3.19
g_1,0.92,0.96,1.43,0.85,0.8,1.02,1.77,4.21,1.85,1.99,3.58,2.44,2.27,2.42,3.08,1.47
d_0,0.74,1.11,0.6,1.82,1.11,0.98,1.97,1.91,3.59,2.29,2.12,2.14,2.74,2.49,2.28,2.96
c_0,1.16,1.1,0.97,0.66,0.96,1.08,2.08,2.16,1.84,3.77,2.29,4.08,2.86,2.89,2.15,3.23
f_0,0.83,0.69,1.18,1.35,0.93,0.89,2.37,1.68,2.5,2.49,4.02,2.94,2.62,2.67,4.23,3.36
b_0,1.14,0.98,1.12,1.1,0.6,0.96,1.83,1.96,2.35,1.69,2.25,4.16,3.32,3.95,2.66,2.82
h_0,0.94,1.39,1.0,1.13,0.83,0.98,1.03,2.35,2.01,1.88,2.28,1.93,1.7,2.1,2.22,3.11
a_0,1.02,1.08,1.37,0.99,1.01,0.7,2.22,2.09,2.32,1.68,2.09,1.92,3.27,4.52,2.84,2.43
e_0,0.73,1.32,0.96,1.02,1.15,1.16,2.22,1.64,2.4,2.62,2.05,2.13,3.17,2.64,4.7,2.94
g_0,0.96,0.84,1.66,1.15,0.93,0.71,1.87,1.27,1.91,1.82,2.2,2.19,2.48,2.49,2.38,1.46
