,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,2.63,4.73,3.94,4.14,4.38,1.31,1.31,0.82,0.86,0.9,1.04,0.89,0.71,2.53,0.78
f_1,4.0,0.45,3.6,5.29,4.55,4.01,0.81,1.24,0.92,1.04,0.9,4.56,0.83,0.41,0.64,0.6
d_1,4.82,3.93,0.44,4.34,3.65,5.39,1.19,0.85,0.85,4.16,0.91,0.85,0.72,0.6,1.03,0.48
c_1,4.5,4.73,6.97,0.4,5.6,4.05,1.37,1.19,2.85,0.46,0.94,0.89,0.97,0.69,1.07,0.66
b_1,5.0,4.89,4.83,2.71,0.38,5.52,1.91,1.76,1.13,1.09,3.7,1.04,1.53,0.72,1.14,0.71
a_1,6.61,6.13,6.05,6.69,2.9,0.32,1.82,1.97,1.57,1.52,1.64,1.16,5.66,1.34,1.03,1.27
h_1,5.25,4.93,4.15,5.17,5.26,4.42,0.37,1.6,0.91,1.14,0.86,0.87,0.94,1.76,0.83,0.61
g_1,5.18,6.21,4.56,5.8,5.32,5.36,1.21,0.34,1.01,1.08,1.0,1.06,0.98,0.61,1.14,1.36
c_0,6.48,7.21,2.79,28.84,6.85,4.25,1.58,1.49,0.42,1.7,1.38,1.01,1.05,0.84,1.3,0.64
d_0,2.6,6.86,18.08,5.37,7.32,6.8,1.87,1.81,1.34,0.44,1.46,1.12,1.65,0.78,1.21,1.06
b_0,5.33,6.59,5.38,6.03,21.92,6.91,1.65,1.79,0.7,1.15,0.41,0.8,1.17,0.97,1.17,0.68
f_0,5.09,24.36,5.58,6.48,5.88,4.91,1.51,1.28,0.99,1.2,1.24,0.4,1.17,1.21,2.0,0.71
a_0,6.29,6.68,6.47,9.39,10.86,16.65,1.88,2.46,1.39,1.46,0.54,1.1,0.37,0.77,1.28,0.8
h_0,7.18,7.48,7.13,8.11,6.3,6.52,5.89,2.04,1.32,1.3,1.12,1.1,1.14,2.55,1.11,0.93
e_0,14.94,10.36,7.19,7.51,7.12,8.15,2.06,1.52,1.4,1.72,1.06,0.69,1.29,0.88,0.33,0.99
g_0,8.66,10.28,6.92,6.56,8.86,7.45,2.45,5.25,1.37,1.63,1.35,1.41,1.58,0.86,1.28,
