,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.89,1.5,1.25,1.59,3.09,20.1,34.9,33.8,32.08,47.46,48.11,81.63,99.97,117.2,136.62
f_1,1.13,1.0,1.18,1.05,1.5,2.78,13.61,20.74,23.82,28.63,28.01,37.07,51.35,72.33,98.28,93.49
c_1,0.66,0.85,1.0,1.17,1.76,2.23,12.69,13.57,21.27,19.8,31.98,31.93,66.75,72.02,96.32,90.81
d_1,0.8,0.96,0.86,1.0,1.2,1.9,13.16,21.39,19.37,32.06,30.94,41.48,60.14,68.1,73.19,88.62
b_1,0.63,0.66,0.57,0.83,1.0,2.71,11.62,14.08,20.92,19.08,29.64,29.89,47.26,58.27,57.66,69.27
a_1,0.33,0.36,0.45,0.53,0.37,1.0,6.06,8.73,10.02,11.64,16.53,21.85,25.63,31.3,41.41,62.07
h_1,0.05,0.08,0.08,0.07,0.08,0.17,1.0,1.3,1.95,1.59,2.09,2.36,3.54,5.11,6.79,6.39
d_0,0.03,0.05,0.08,0.05,0.07,0.11,0.75,1.0,1.18,1.09,1.56,1.64,3.2,3.84,4.42,5.14
g_1,0.03,0.04,0.05,0.05,0.05,0.09,0.53,0.83,1.0,0.99,1.63,1.44,2.16,3.59,3.37,3.6
c_0,0.03,0.03,0.05,0.03,0.05,0.09,0.62,0.97,1.01,1.0,1.35,1.97,2.21,3.4,3.45,3.77
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.46,0.59,0.59,0.71,1.0,1.14,1.88,2.23,2.16,4.61
b_0,0.02,0.03,0.03,0.02,0.04,0.05,0.42,0.6,0.7,0.49,0.85,1.0,1.55,2.78,2.15,2.63
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.28,0.32,0.46,0.45,0.5,0.63,1.0,1.3,1.76,1.52
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.25,0.27,0.31,0.43,0.37,0.75,1.0,1.17,1.25
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.23,0.29,0.29,0.47,0.44,0.55,0.87,1.0,1.15
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.19,0.29,0.28,0.22,0.37,0.63,0.77,0.85,1.01
