,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.51,0.67,0.66,0.76,0.58,0.65,0.89,1.58,0.74,0.83,0.98,0.96,1.03,0.77,1.06,0.5
f_1,1.12,2.59,0.67,0.6,0.54,0.45,0.85,0.89,0.83,0.91,1.03,0.42,1.06,0.87,0.87,0.66
d_1,0.67,0.72,2.79,0.5,0.54,0.55,0.94,0.35,1.18,1.79,0.99,0.98,0.95,1.19,0.95,0.9
c_1,0.51,0.65,0.55,2.9,1.28,0.61,0.93,0.98,0.83,0.45,0.78,0.86,0.92,0.96,0.85,0.99
b_1,0.55,0.59,0.66,0.7,3.25,1.33,0.89,0.92,0.78,0.83,0.46,1.03,0.74,0.73,0.75,1.19
a_1,0.68,0.8,0.58,0.73,0.65,4.34,0.87,0.91,0.83,0.76,0.76,0.91,0.95,0.39,1.04,0.91
h_1,0.76,1.09,0.87,0.69,0.66,0.82,2.84,1.08,1.37,1.16,1.23,1.21,0.74,0.94,1.72,1.23
d_0,0.77,0.82,0.42,1.66,0.87,0.64,1.07,2.01,0.96,0.67,1.08,1.1,1.26,1.3,1.13,1.2
g_1,0.66,0.73,1.31,0.75,0.71,0.55,1.01,0.96,3.52,1.14,1.22,1.73,1.18,1.36,0.67,1.29
c_0,0.78,0.89,0.89,0.55,0.51,0.78,1.37,0.87,1.17,2.3,2.34,1.33,1.41,1.49,1.43,1.42
b_0,0.84,0.8,0.93,0.83,0.4,0.68,1.18,1.26,1.06,1.12,2.55,1.5,1.34,2.7,1.42,1.38
f_0,0.63,0.56,0.83,0.88,0.94,0.78,1.27,1.19,1.22,1.04,1.27,2.56,1.24,1.28,1.49,2.54
h_0,0.77,1.09,0.9,0.82,0.72,0.54,0.67,1.03,1.52,1.03,1.31,1.27,0.7,1.1,1.43,1.14
a_0,0.81,0.92,0.89,0.88,0.77,0.27,1.18,1.05,1.23,1.07,1.32,1.33,1.55,3.25,1.14,1.18
g_0,0.73,0.62,1.33,0.88,0.76,0.76,0.96,1.0,0.69,0.91,1.13,1.89,1.11,1.11,0.89,1.6
e_0,0.38,0.84,0.91,1.13,0.89,0.94,1.07,0.97,1.05,1.02,1.29,1.31,1.3,1.07,1.06,3.38
