,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.07,2.07,3.54,3.51,2.82,3.06,1.44,1.18,1.08,1.07,0.98,1.05,1.0,0.76,1.48,0.74
f_1,3.94,1.07,2.97,3.79,2.8,2.93,0.84,1.57,1.02,0.9,0.98,2.09,0.78,0.53,0.74,0.62
d_1,3.69,4.12,1.07,3.04,3.25,3.1,1.31,0.86,2.13,1.16,1.14,0.85,0.99,0.74,0.99,0.54
c_1,3.05,3.42,4.37,1.07,4.54,3.07,1.5,1.28,0.71,1.89,1.01,0.93,1.03,0.67,0.83,0.74
b_1,4.56,4.44,4.31,2.19,1.07,3.7,1.67,1.72,1.19,1.21,2.43,1.44,0.86,1.13,1.09,1.11
a_1,5.26,5.54,6.02,6.38,3.27,1.07,2.49,2.43,1.57,1.66,1.88,1.18,5.75,1.29,1.16,1.72
h_1,6.64,9.34,6.67,7.08,7.26,5.62,1.38,2.57,2.33,2.33,2.21,2.38,1.85,3.41,1.76,1.86
g_1,8.58,9.29,9.07,8.19,6.3,6.13,2.53,1.38,2.77,2.38,2.38,2.9,2.45,2.09,2.02,2.92
d_0,5.64,9.39,12.33,10.71,8.79,8.5,3.31,3.23,1.65,2.6,2.42,1.88,2.47,2.42,2.01,1.95
c_0,8.32,10.41,5.14,17.33,13.69,7.52,3.44,3.74,3.23,1.62,2.82,2.23,2.13,2.27,2.29,1.76
b_0,9.12,9.55,7.87,12.15,17.38,6.45,3.63,3.56,2.71,1.62,1.57,2.54,2.93,2.31,2.43,1.75
f_0,11.3,21.62,9.87,12.37,9.96,9.64,3.84,2.49,3.53,2.85,2.59,1.62,2.46,3.07,2.99,1.59
a_0,11.04,13.51,11.31,10.39,15.27,,4.69,3.92,3.31,3.26,2.08,3.0,1.72,2.75,3.47,2.54
h_0,11.28,14.79,11.85,14.76,9.65,8.52,7.9,3.94,3.28,2.97,3.21,2.87,2.91,5.2,3.1,2.45
e_0,24.92,18.87,10.9,13.03,12.38,11.35,4.63,5.47,4.32,3.44,3.91,1.97,2.94,2.67,1.69,2.5
g_0,18.15,16.01,13.87,15.73,12.84,10.54,4.82,8.36,4.52,4.46,5.02,4.97,3.43,2.93,3.9,4.92
