,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.86,0.82,1.01,0.93,0.82,0.21,0.19,0.28,0.17,0.17,0.26,0.1,0.16,0.2,0.14
e_1,0.61,0.42,0.95,1.02,1.1,1.01,0.26,0.21,0.27,0.2,0.19,0.24,0.14,0.21,0.27,0.16
d_1,1.03,1.16,0.4,0.93,0.79,0.81,0.23,0.19,0.17,0.31,0.19,0.19,0.13,0.18,0.19,0.09
c_1,1.01,0.83,1.24,0.4,0.94,0.81,0.32,0.25,0.3,0.12,0.19,0.18,0.14,0.19,0.18,0.13
b_1,1.21,0.99,1.12,0.6,0.39,1.06,0.28,0.29,0.31,0.21,0.28,0.18,0.16,0.19,0.18,0.14
a_1,1.48,1.3,1.27,1.3,0.7,0.32,0.4,0.33,0.35,0.26,0.41,0.25,0.18,0.42,0.26,0.21
h_1,1.85,1.78,1.58,1.89,1.47,1.39,0.29,0.42,0.52,0.45,0.41,0.38,0.32,0.31,0.32,0.24
c_0,2.18,2.09,1.16,3.21,1.96,1.67,0.57,0.28,0.43,0.54,0.38,0.41,0.27,0.38,0.36,0.25
g_1,2.17,1.88,1.91,2.2,2.05,1.59,0.46,0.45,0.26,0.45,0.37,0.38,0.24,0.43,0.41,0.33
d_0,1.97,1.33,2.59,2.31,2.39,2.02,0.61,0.47,0.63,0.31,0.41,0.44,0.31,0.41,0.4,0.33
b_0,2.13,2.19,1.59,2.95,2.7,2.0,0.57,0.28,0.61,0.47,0.28,0.41,0.28,0.4,0.42,0.36
f_0,3.13,2.21,1.79,2.1,2.15,1.97,0.59,0.48,0.41,0.46,0.46,0.28,0.34,0.42,0.41,0.21
h_0,2.52,2.51,2.32,2.52,2.29,2.04,0.85,0.56,0.66,0.5,0.45,0.46,0.43,0.46,0.48,0.38
a_0,2.7,2.39,2.44,2.7,2.95,3.37,0.75,0.43,0.74,0.44,0.29,0.4,0.38,0.27,0.44,0.37
e_0,3.54,3.0,2.3,2.74,2.23,2.54,0.69,0.5,0.65,0.62,0.49,0.3,0.39,0.47,0.25,0.34
g_0,3.3,2.69,2.56,2.87,2.32,2.37,0.57,0.65,0.89,0.6,0.53,0.59,0.3,0.52,0.43,0.41
