,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.9,4.56,2.4,2.75,2.34,2.96,9.11,10.91,9.54,14.29,13.46,8.09,19.14,13.85,21.36,11.34
e_1,2.95,6.24,2.36,3.64,2.89,2.57,9.61,12.01,10.32,21.93,12.9,13.91,19.76,14.79,19.78,10.85
d_1,2.98,2.58,6.37,2.35,3.06,2.62,11.29,22.18,10.85,8.92,15.97,13.83,21.06,15.15,20.88,17.39
c_1,2.59,2.3,2.78,6.7,5.17,3.22,9.69,9.23,8.16,12.47,9.6,13.92,20.38,12.11,20.5,14.86
b_1,2.81,2.59,2.84,2.75,8.0,5.57,10.56,12.12,11.19,11.9,10.11,14.29,20.84,12.69,18.31,14.44
a_1,2.51,2.75,3.3,2.84,3.09,11.75,10.86,14.41,12.39,12.72,13.56,14.22,24.05,14.41,21.82,15.18
h_1,3.71,2.78,3.37,2.69,2.73,2.99,18.14,13.19,15.17,14.09,15.45,13.93,18.61,14.44,27.47,16.03
c_0,3.4,2.97,3.08,2.62,2.19,3.27,12.46,20.08,13.06,14.3,25.8,16.99,25.0,20.92,24.36,18.95
g_1,2.67,2.54,4.19,3.03,3.22,2.95,10.83,14.7,23.12,12.13,14.2,20.59,18.46,17.27,15.77,17.52
d_0,2.93,2.53,2.34,4.94,3.44,2.56,11.16,10.09,11.84,20.17,14.24,14.41,19.32,17.06,22.66,15.88
b_0,3.16,3.34,3.12,2.93,2.3,2.67,11.24,14.5,11.56,14.31,24.31,15.21,23.24,31.01,23.37,15.22
f_0,2.55,2.1,3.77,3.06,3.37,3.23,13.78,15.37,12.49,13.55,14.79,25.04,20.08,18.17,23.12,34.81
h_0,3.71,3.15,3.13,3.03,2.82,2.88,9.05,12.71,14.75,13.0,14.51,13.57,16.76,14.98,25.78,13.88
a_0,3.17,3.08,3.27,3.34,3.21,2.26,12.03,14.74,10.49,14.92,14.08,14.77,22.7,28.2,19.48,16.29
g_0,2.57,2.8,4.16,3.14,3.1,2.7,10.87,13.85,10.17,12.99,14.53,20.5,21.67,15.38,18.4,19.54
e_0,3.03,2.49,3.51,3.08,3.2,3.4,12.02,14.37,9.92,12.84,13.12,15.44,22.8,14.81,23.29,32.72
