,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.88,0.1,0.07,0.08,0.05,0.04,0.08,0.06,0.15,0.09,0.08,0.07,0.05,0.07,0.06,0.02
f_1,0.15,0.87,0.1,0.08,0.05,0.04,0.09,0.06,0.07,0.06,0.08,0.02,0.05,0.06,0.06,0.03
d_1,0.09,0.09,0.88,0.06,0.07,0.05,0.08,0.07,0.02,0.16,0.08,0.06,0.05,0.09,0.05,0.03
c_1,0.09,0.1,0.07,0.87,0.13,0.03,0.07,0.06,0.07,0.01,0.05,0.07,0.05,0.09,0.06,0.05
b_1,0.1,0.1,0.09,0.08,0.87,0.08,0.06,0.06,0.07,0.05,0.01,0.08,0.04,0.08,0.05,0.04
a_1,0.07,0.08,0.09,0.09,0.07,0.87,0.09,0.07,0.08,0.09,0.07,0.05,0.01,0.09,0.06,0.06
h_1,0.15,0.21,0.13,0.15,0.12,0.05,0.53,0.15,0.13,0.12,0.14,0.13,0.08,0.06,0.13,0.09
g_1,0.15,0.09,0.22,0.17,0.11,0.08,0.15,0.52,0.1,0.13,0.11,0.2,0.08,0.09,0.05,0.08
d_0,0.14,0.15,0.06,0.31,0.11,0.07,0.13,0.13,0.38,0.11,0.12,0.14,0.07,0.13,0.11,0.09
c_0,0.16,0.19,0.19,0.06,0.09,0.09,0.12,0.13,0.12,0.38,0.23,0.16,0.11,0.15,0.13,0.07
b_0,0.14,0.18,0.13,0.15,0.04,0.1,0.13,0.15,0.15,0.13,0.39,0.15,0.19,0.15,0.12,0.08
f_0,0.13,0.06,0.18,0.18,0.08,0.09,0.18,0.16,0.17,0.12,0.15,0.37,0.12,0.17,0.12,0.19
a_0,0.14,0.18,0.21,0.15,0.1,,0.18,0.14,0.16,0.13,0.16,0.12,0.38,0.1,0.13,0.09
h_0,0.13,0.24,0.17,0.14,0.12,0.08,0.05,0.15,0.12,0.13,0.11,0.08,0.11,0.05,0.15,0.07
g_0,0.17,0.12,0.22,0.12,0.12,0.08,0.1,0.08,0.15,0.14,0.11,0.21,0.1,0.16,0.06,0.08
e_0,0.04,0.21,0.15,0.16,0.16,0.08,0.14,0.14,0.18,0.14,0.14,0.13,0.07,0.17,0.11,0.33
