,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.31,0.89,0.72,0.98,0.8,0.56,1.56,1.41,2.8,1.57,1.61,1.67,2.0,1.45,1.09,1.9
f_1,1.52,2.32,0.77,0.76,0.65,0.54,1.51,1.28,1.69,1.38,1.1,1.6,2.04,1.45,0.79,1.53
d_1,0.8,0.96,2.5,0.66,0.72,0.69,1.56,1.34,1.0,3.13,1.57,1.94,2.14,1.48,1.68,1.85
c_1,0.81,0.86,0.79,2.52,1.38,0.6,1.58,1.27,1.6,0.98,1.39,1.1,2.17,1.12,1.23,1.93
b_1,0.78,0.87,0.73,0.8,2.61,1.22,1.52,1.38,1.61,1.6,1.74,1.18,2.14,1.11,1.47,1.67
a_1,0.86,0.96,0.82,0.83,0.73,3.09,1.51,1.38,1.86,1.71,1.71,1.75,2.7,1.13,1.13,1.85
h_1,0.84,1.23,1.0,0.75,0.85,0.66,3.21,2.07,1.57,1.82,1.71,1.85,1.69,1.63,1.73,2.58
g_1,0.82,0.85,1.35,0.9,0.77,0.65,1.43,3.51,1.53,1.92,2.74,1.91,2.36,1.6,1.96,1.88
d_0,0.83,0.93,0.56,1.7,0.91,0.66,1.61,1.46,3.12,1.25,1.73,1.8,2.1,1.42,1.54,2.16
c_0,0.97,1.09,0.88,0.64,0.61,0.89,1.84,1.6,1.91,3.04,1.87,3.74,2.49,2.17,2.21,2.46
f_0,0.76,0.84,1.04,0.97,0.85,0.73,1.8,1.81,1.83,2.01,3.25,2.14,2.71,1.68,3.67,2.27
b_0,1.03,1.11,0.94,1.0,0.54,0.57,1.82,1.65,1.75,1.63,2.24,3.27,2.59,3.39,1.78,2.56
h_0,0.91,1.32,0.93,0.95,0.85,0.62,1.45,2.02,1.55,1.55,1.86,1.71,1.69,1.44,1.64,2.86
a_0,0.89,1.16,1.02,0.82,0.89,0.34,1.94,1.61,1.61,1.81,2.19,1.75,3.07,3.42,2.02,2.5
e_0,0.72,0.98,1.02,1.01,0.92,0.74,1.9,1.89,1.65,1.82,1.6,2.04,2.38,1.66,3.55,2.24
g_0,0.78,0.82,1.39,0.93,0.84,0.72,1.9,1.44,1.59,1.84,2.71,1.71,2.45,1.47,1.92,1.79
