,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,9.89,11.55,9.27,11.14,11.51,2.57,3.68,2.3,2.23,2.04,10.81,1.03,2.15,2.11,1.58
e_1,6.55,1.14,15.06,13.12,13.09,8.36,3.22,5.74,2.07,2.12,2.19,3.13,1.48,2.18,8.34,1.6
c_1,11.85,11.3,1.14,13.39,11.89,15.76,3.53,3.52,1.41,7.99,2.56,1.92,1.47,2.54,2.58,1.63
d_1,11.55,15.91,10.23,1.14,12.57,9.43,2.96,2.19,10.52,2.29,2.82,2.4,2.0,2.59,2.7,1.17
b_1,15.6,13.6,8.72,12.72,1.15,17.17,3.75,3.92,3.45,4.15,14.25,2.82,2.4,2.24,2.34,2.29
a_1,26.26,25.72,20.33,20.77,11.74,1.15,7.43,6.4,4.25,3.46,4.6,3.65,3.82,,3.74,2.77
h_1,28.74,25.53,27.39,25.05,23.68,25.3,1.88,8.02,5.73,4.87,5.64,5.24,16.62,5.34,4.48,4.23
g_1,43.45,34.46,32.49,29.29,29.91,33.16,8.45,1.9,7.3,6.56,6.0,6.83,3.51,10.41,6.67,10.76
d_0,41.01,16.43,36.82,126.19,33.03,37.71,10.64,11.1,2.83,6.85,7.22,5.9,5.33,8.83,6.22,6.83
c_0,36.5,33.17,144.09,18.97,36.9,35.61,11.05,10.92,9.3,2.78,6.26,6.65,7.58,8.46,7.34,6.45
b_0,36.14,38.58,44.78,30.1,177.56,36.98,11.34,9.65,8.79,3.75,2.61,10.38,6.0,6.15,8.95,8.26
f_0,117.74,38.58,39.93,39.06,38.92,37.71,13.06,6.0,6.9,9.3,8.51,2.58,6.45,11.28,7.34,5.38
h_0,46.79,59.15,44.19,43.75,57.98,54.94,41.05,16.65,10.7,9.73,8.26,9.79,20.57,10.15,7.81,7.55
a_0,52.9,53.77,60.25,53.79,48.98,,15.39,12.33,12.59,10.05,5.7,13.66,7.85,2.72,12.23,7.1
e_0,84.88,177.45,50.98,61.91,49.84,50.61,18.74,11.89,11.26,10.74,9.66,5.46,12.34,19.33,2.76,9.1
g_0,66.36,53.77,61.37,78.12,59.19,83.61,12.31,33.3,11.46,11.75,11.88,10.81,6.86,14.0,12.23,19.72
