,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,1.48,1.55,1.7,1.91,1.75,0.33,0.33,0.3,0.6,0.29,1.34,0.15,0.34,0.35,0.24
e_1,0.94,0.17,1.56,1.77,1.63,1.61,0.63,0.4,0.33,0.48,0.42,0.49,0.29,0.34,1.32,0.41
d_1,1.87,1.9,0.15,1.54,2.23,1.27,0.55,1.19,0.36,0.26,0.26,0.28,0.23,0.31,0.32,0.16
c_1,1.6,1.83,2.08,0.15,1.52,1.64,0.39,0.2,1.09,0.47,0.3,0.37,0.26,0.32,0.35,0.25
b_1,1.76,1.53,1.63,0.91,0.14,2.15,0.55,0.38,0.47,0.54,2.07,0.32,0.24,0.39,0.32,0.33
a_1,2.38,1.45,2.16,1.85,0.94,0.09,0.42,0.35,0.33,0.64,0.38,0.35,0.2,,0.31,0.18
h_1,1.03,1.02,1.06,1.03,0.72,0.89,0.07,0.16,0.2,0.32,0.16,0.14,0.53,0.14,0.13,0.12
d_0,0.95,0.52,2.35,1.16,0.93,0.85,0.33,0.07,0.24,0.32,0.16,0.19,0.13,0.17,0.18,0.2
c_0,0.92,0.97,0.45,4.04,1.08,1.02,0.25,0.22,0.07,0.29,0.18,0.14,0.15,0.16,0.16,0.12
g_1,0.96,1.02,1.03,0.96,0.95,0.81,0.21,0.21,0.19,0.05,0.2,0.16,0.11,0.19,0.16,0.3
b_0,0.79,0.77,0.81,1.22,2.07,1.17,0.32,0.17,0.1,0.26,0.07,0.21,0.13,0.16,0.15,0.09
f_0,3.44,0.95,0.71,0.94,0.7,0.77,0.28,0.21,0.16,0.15,0.24,0.05,0.14,0.22,0.25,0.09
h_0,0.92,0.77,0.83,0.99,0.85,0.91,0.83,0.18,0.19,0.3,0.2,0.19,0.49,0.18,0.21,0.15
a_0,0.91,0.98,0.72,0.85,1.46,,0.2,0.17,0.17,0.39,0.1,0.17,0.19,0.05,0.15,0.16
e_0,0.98,1.77,0.92,0.82,1.13,0.69,0.24,0.19,0.15,0.25,0.2,0.08,0.14,0.17,0.04,0.11
g_0,1.13,0.88,0.77,1.02,0.8,0.98,0.19,0.25,0.18,,0.22,0.15,0.11,0.32,0.13,0.24
