,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.4,0.7,1.28,0.81,0.8,0.53,1.52,1.55,1.51,1.54,1.85,0.62,1.51,1.51,1.14,2.07
d_1,0.9,2.48,0.63,0.66,0.74,0.71,1.68,0.65,1.44,2.91,1.62,1.69,2.3,1.99,1.9,1.92
e_1,0.65,0.79,2.47,0.81,0.77,0.89,1.34,2.91,1.52,1.59,1.75,1.77,2.25,1.55,1.05,2.04
c_1,0.76,0.83,0.72,2.58,1.18,0.82,1.15,1.39,1.69,0.74,1.41,1.75,2.12,1.78,1.3,2.22
b_1,0.72,0.93,0.73,0.59,2.72,1.24,1.71,1.62,1.28,1.54,0.67,1.56,2.34,1.36,1.82,2.24
a_1,0.93,0.84,0.72,0.72,0.72,3.18,1.49,1.76,1.66,1.68,1.43,1.8,2.12,0.74,2.08,1.9
h_1,1.18,0.83,1.06,1.26,0.87,0.92,3.92,1.78,2.36,2.27,2.4,2.26,2.01,2.21,2.45,3.09
d_0,0.98,0.69,0.76,1.8,0.91,1.07,2.24,3.63,1.44,1.94,2.71,2.35,2.51,2.09,2.35,2.91
g_1,0.96,1.36,0.86,0.98,1.05,0.76,1.71,2.59,4.32,1.86,2.5,3.35,2.88,2.32,2.74,1.82
c_0,1.19,0.75,1.26,0.68,0.86,0.93,2.14,2.67,1.98,3.83,4.39,2.58,3.45,2.3,2.58,2.69
b_0,1.07,1.11,1.02,1.27,0.51,0.94,2.03,2.27,1.94,1.81,3.9,2.07,3.21,3.87,2.84,2.61
f_0,0.85,1.04,0.89,1.16,1.18,0.96,1.85,2.6,1.82,2.38,2.36,4.17,2.57,2.52,4.14,2.29
h_0,1.54,1.03,0.86,0.99,0.89,0.93,1.33,2.22,2.17,1.77,2.29,2.5,1.6,1.93,2.52,3.52
a_0,1.01,1.06,1.09,1.14,0.95,,2.16,2.64,1.75,2.68,1.97,2.63,3.53,4.75,2.06,2.96
e_0,1.54,1.06,0.42,1.3,0.73,0.88,2.31,2.21,1.84,2.53,2.26,2.13,3.16,3.46,4.94,2.81
g_0,0.93,1.42,0.88,1.05,0.94,1.06,1.76,1.89,1.23,2.22,2.74,3.45,1.9,2.41,2.8,1.93
