,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.52,0.61,0.64,0.83,0.73,0.52,0.75,0.73,1.29,0.86,0.89,0.83,0.84,0.51,0.89,0.71
f_1,1.13,1.53,0.64,0.6,0.62,0.43,0.78,0.69,0.7,0.77,0.49,0.79,0.83,0.58,0.66,0.64
d_1,0.69,0.83,1.55,0.58,0.6,0.53,0.83,0.67,0.63,1.22,0.78,0.96,0.81,0.73,0.89,0.74
c_1,0.54,0.73,0.67,1.55,1.0,0.62,0.74,0.67,0.72,0.34,0.78,0.59,0.84,0.67,0.75,0.63
b_1,0.67,0.75,0.78,0.62,1.58,0.93,0.72,0.75,0.83,0.78,0.63,0.43,1.01,0.68,0.73,0.59
a_1,0.74,0.82,0.79,0.72,0.59,1.74,0.93,0.93,0.86,0.94,0.98,0.85,0.86,0.66,0.9,0.57
h_1,0.93,1.09,0.95,0.92,0.81,0.7,1.73,1.11,0.94,1.07,0.92,1.01,0.82,0.72,1.32,0.81
g_1,0.81,0.73,1.29,1.07,0.87,0.62,1.01,1.8,0.93,0.99,1.55,1.13,1.1,0.95,0.78,0.81
d_0,0.79,1.0,0.52,1.64,0.87,0.79,1.11,1.12,1.6,0.91,1.14,0.86,1.18,0.84,1.04,0.91
c_0,1.02,0.98,0.95,0.88,0.78,0.63,1.17,1.19,1.17,1.6,1.32,1.81,1.31,1.0,1.13,1.14
f_0,0.77,0.75,1.06,1.1,0.97,0.77,1.08,0.89,1.15,1.05,1.68,1.05,1.05,1.87,0.99,0.99
b_0,0.99,0.94,0.95,1.11,0.69,0.83,1.1,1.05,1.17,0.97,1.21,1.66,1.37,1.03,1.32,1.64
h_0,1.01,1.28,1.02,1.03,0.84,0.73,0.81,1.38,1.09,1.0,1.18,0.98,0.99,0.9,1.5,0.94
e_0,0.7,1.15,1.03,1.19,0.86,0.95,1.34,1.14,1.37,1.24,0.86,0.98,1.39,1.83,1.02,0.94
g_0,0.87,1.02,1.37,1.08,0.9,0.84,1.07,1.06,1.06,1.13,1.67,1.12,1.04,1.08,0.99,0.89
a_0,0.97,1.14,1.15,1.14,0.74,0.64,1.32,1.38,1.08,1.14,1.1,1.09,1.44,1.19,1.22,1.73
