,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,0.91,0.71,0.94,0.75,0.74,0.33,0.43,0.34,0.38,0.32,0.46,0.33,0.23,0.31,0.35
e_1,0.54,0.4,0.78,0.83,0.98,0.83,0.49,0.52,0.4,0.45,0.39,0.44,0.47,0.35,0.7,0.35
d_1,0.86,0.98,0.4,0.79,0.71,0.78,0.39,0.32,0.39,0.56,0.36,0.35,0.32,0.28,0.34,0.2
c_1,0.78,0.72,0.91,0.39,0.93,0.76,0.44,0.38,0.48,0.24,0.34,0.33,0.35,0.33,0.31,0.32
b_1,0.96,0.73,0.9,0.5,0.38,1.02,0.46,0.52,0.48,0.39,0.56,0.36,0.35,0.38,0.49,0.35
a_1,0.8,0.84,0.78,0.91,0.54,0.31,0.58,0.52,0.36,0.4,0.48,0.37,0.59,0.32,0.4,0.33
h_1,0.81,0.66,0.67,0.81,0.78,0.61,0.24,0.46,0.3,0.29,0.35,0.3,0.28,0.33,0.28,0.28
g_1,0.82,0.74,0.76,0.89,0.71,0.65,0.3,0.22,0.29,0.31,0.32,0.31,0.3,0.19,0.33,0.33
c_0,0.84,0.77,0.47,1.19,0.64,0.58,0.39,0.5,0.24,0.43,0.4,0.31,0.35,0.3,0.38,0.28
d_0,0.74,0.44,0.98,0.9,0.72,0.69,0.41,0.46,0.31,0.25,0.35,0.34,0.32,0.3,0.3,0.36
b_0,0.76,0.65,0.64,1.0,0.89,0.67,0.38,0.38,0.2,0.32,0.23,0.32,0.4,0.27,0.33,0.24
f_0,0.97,0.67,0.64,0.88,0.68,0.66,0.41,0.28,0.31,0.34,0.29,0.22,0.31,0.3,0.38,0.22
a_0,0.78,0.65,0.67,0.73,0.87,0.83,0.43,0.4,0.27,0.32,0.19,0.3,0.21,0.32,0.32,0.26
h_0,0.87,0.7,0.7,0.75,0.6,0.66,0.48,0.43,0.31,0.35,0.3,0.29,0.27,0.35,0.3,0.31
e_0,1.07,0.77,0.68,0.86,0.61,0.61,0.41,0.33,0.31,0.38,0.33,0.18,0.29,0.24,0.19,0.24
g_0,0.7,0.68,0.85,0.72,0.66,0.6,0.3,0.49,0.33,0.3,0.31,0.37,0.36,0.22,0.29,0.33
