,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.29,0.85,0.5,0.53,0.43,0.29,0.72,0.67,0.88,0.75,0.94,0.4,0.72,1.08,1.06,0.46
e_1,0.6,2.29,0.4,0.53,0.39,0.34,1.05,0.8,1.9,1.1,1.21,1.11,0.96,1.2,1.17,0.44
d_1,0.52,0.44,2.36,0.4,0.39,0.47,0.83,0.85,0.43,1.99,1.23,0.97,0.81,1.45,1.07,0.96
c_1,0.53,0.53,0.44,2.42,0.81,0.31,0.74,0.67,0.94,0.31,0.71,0.87,0.84,1.13,0.94,0.65
b_1,0.44,0.43,0.52,0.48,2.61,0.77,0.82,0.73,1.03,0.76,0.35,1.07,0.6,1.14,0.96,0.79
a_1,0.52,0.5,0.55,0.45,0.46,2.97,1.11,0.85,0.93,1.04,0.79,0.85,0.39,1.32,1.05,0.71
h_1,0.85,0.52,0.63,0.58,0.44,0.4,3.04,1.29,1.37,1.28,1.04,1.01,0.86,0.81,1.84,1.05
g_1,0.52,0.6,1.08,0.63,0.41,0.42,0.91,3.26,0.68,1.08,1.07,1.42,0.76,1.47,0.93,0.86
d_0,0.62,0.55,0.3,1.13,0.56,0.45,1.14,0.97,2.51,0.92,1.08,1.11,1.06,1.34,1.26,0.93
c_0,0.7,0.62,0.67,0.32,0.4,0.44,1.05,1.2,1.32,2.66,2.75,1.34,1.32,1.57,1.35,1.04
b_0,0.72,0.61,0.63,0.63,0.35,0.39,1.13,1.0,1.34,1.11,2.6,0.94,2.43,1.77,1.42,1.09
f_0,0.43,0.5,0.75,0.67,0.48,0.54,1.22,0.96,1.51,1.26,1.28,2.84,1.01,1.32,1.5,2.2
a_0,0.79,0.6,0.63,0.67,0.5,0.18,1.18,1.15,1.19,1.07,1.42,1.05,2.99,1.54,1.42,0.69
h_0,1.02,0.63,0.67,0.61,0.46,0.34,0.58,1.45,1.09,1.06,1.11,1.13,1.05,0.96,1.78,1.01
g_0,0.53,0.58,0.93,0.58,0.5,0.52,1.12,0.6,1.28,1.08,1.06,1.82,1.2,1.53,0.86,1.18
e_0,0.66,0.43,0.66,0.77,0.49,0.43,1.11,1.04,1.36,1.38,1.29,0.75,1.27,1.67,1.5,3.29
