,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.9,0.28,0.28,0.16,0.17,0.11,0.19,0.37,0.16,0.19,0.11,0.14,0.19,0.13,0.06,0.15
f_1,0.43,0.89,0.21,0.19,0.17,0.09,0.16,0.19,0.16,0.12,0.1,0.06,0.15,0.13,0.09,0.13
c_1,0.22,0.23,0.89,0.2,0.33,0.12,0.2,0.2,0.06,0.09,0.1,0.11,0.16,0.09,0.13,0.14
d_1,0.26,0.26,0.14,0.89,0.16,0.13,0.2,0.09,0.36,0.21,0.15,0.16,0.2,0.13,0.13,0.17
b_1,0.2,0.26,0.23,0.21,0.88,0.26,0.17,0.22,0.17,0.08,0.09,0.14,0.16,0.1,0.11,0.12
a_1,0.21,0.28,0.23,0.2,0.16,0.88,0.2,0.21,0.23,0.17,0.12,0.15,0.25,0.06,0.14,0.14
h_1,0.28,0.42,0.28,0.23,0.2,0.14,0.57,0.19,0.24,0.2,0.19,0.2,0.12,0.13,0.15,0.22
d_0,0.32,0.26,0.53,0.12,0.21,0.13,0.23,0.45,0.16,0.19,0.14,0.18,0.2,0.14,0.14,0.19
c_0,0.35,0.32,0.15,0.28,0.17,0.14,0.23,0.25,0.45,0.37,0.17,0.19,0.24,0.18,0.14,0.17
b_0,0.36,0.36,0.27,0.22,0.09,0.1,0.26,0.27,0.28,0.46,0.17,0.18,0.23,0.35,0.14,0.2
g_1,0.29,0.28,0.25,0.36,0.2,0.13,0.28,0.17,0.24,0.22,0.55,0.28,0.21,0.17,0.15,0.12
f_0,0.21,0.22,0.31,0.3,0.19,0.16,0.26,0.27,0.24,0.22,0.21,0.47,0.28,0.15,0.36,0.22
h_0,0.27,0.4,0.28,0.27,0.18,0.14,0.15,0.22,0.23,0.2,0.25,0.17,0.17,0.14,0.15,0.24
a_0,0.35,0.32,0.29,0.26,0.17,0.08,0.27,0.29,0.22,0.2,0.22,0.18,0.22,0.4,0.16,0.2
e_0,0.16,0.36,0.25,0.37,0.23,0.14,0.22,0.21,0.23,0.19,0.21,0.19,0.27,0.15,0.4,0.2
g_0,0.22,0.25,0.29,0.42,0.22,0.13,0.25,0.2,0.25,0.17,0.1,0.31,0.23,0.13,0.17,0.15
