,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.66,1.14,1.25,1.51,2.36,18.36,27.43,41.7,35.1,34.15,38.61,59.16,,128.99,91.38
f_1,1.52,1.0,0.98,0.92,1.24,2.79,16.31,24.63,28.6,32.41,,40.94,67.4,75.9,61.05,82.32
d_1,0.88,1.02,1.0,0.92,1.18,2.58,16.14,14.5,,44.32,30.88,43.22,65.32,83.69,73.81,87.3
c_1,0.8,1.08,1.09,1.0,1.49,3.3,16.02,21.91,21.44,,32.69,38.38,56.13,70.34,87.62,97.13
b_1,0.66,0.81,0.85,0.67,1.0,2.65,14.17,19.11,18.89,25.91,21.53,,63.76,60.88,59.61,
a_1,0.42,0.36,0.39,0.3,0.38,1.0,6.64,8.2,10.37,12.62,11.84,13.92,19.75,,28.53,
h_1,0.05,0.06,0.06,0.06,0.07,0.15,1.0,1.2,1.57,1.87,2.14,2.18,,3.64,4.98,4.14
g_1,0.04,0.04,0.07,0.05,0.05,0.12,0.83,1.0,1.07,1.2,1.42,1.95,2.2,2.85,,3.69
d_0,0.02,0.03,,0.05,0.05,0.1,0.64,0.93,1.0,0.92,1.12,1.21,2.77,,2.96,2.78
c_0,0.03,0.03,0.02,,0.04,0.08,0.53,0.84,1.08,1.0,1.28,2.07,2.0,2.37,2.76,3.19
f_0,0.03,,0.03,0.03,0.05,0.08,0.47,0.7,0.89,0.78,1.0,0.75,1.82,3.97,2.0,3.07
b_0,0.03,0.02,0.02,0.03,,0.07,0.46,0.51,0.82,0.48,1.33,1.0,1.85,2.0,3.15,3.3
h_0,0.02,0.01,0.02,0.02,0.02,0.05,,0.45,0.36,0.5,0.55,0.54,,1.02,1.86,1.18
e_0,,0.01,0.01,0.01,0.02,,0.28,0.35,,0.42,0.25,0.5,0.98,1.0,1.1,1.1
g_0,0.01,0.02,0.01,0.01,0.02,0.04,0.2,,0.34,0.36,0.5,0.32,0.54,0.91,,
a_0,0.01,0.01,0.01,0.01,,,0.24,0.27,0.36,0.31,0.33,0.3,0.85,0.91,,1.0
