,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.78,0.95,1.17,0.99,0.83,0.73,0.88,0.7,0.59,0.72,0.66,0.65,0.61,0.54,0.63
f_1,1.28,1.0,0.89,1.01,0.85,0.71,0.61,0.76,0.71,0.65,0.65,0.62,0.54,0.48,0.61,0.61
d_1,1.05,1.14,1.0,0.89,0.92,0.82,0.7,0.66,0.55,0.87,0.61,0.71,0.58,0.59,0.59,0.48
c_1,0.86,1.01,1.09,1.0,1.27,0.88,0.73,0.51,0.65,0.59,0.63,0.5,0.61,0.53,0.52,0.61
b_1,1.0,1.19,1.07,0.8,1.0,1.32,0.75,0.63,0.74,0.78,0.65,0.65,0.66,0.63,0.52,0.59
a_1,1.22,1.37,1.17,1.14,0.79,1.0,0.91,0.85,0.78,0.75,0.72,0.9,0.72,0.77,0.73,0.65
h_1,1.37,1.62,1.43,1.36,1.32,1.08,1.0,0.86,1.2,0.85,0.87,0.84,0.82,0.75,0.76,0.9
d_0,1.14,1.3,1.47,1.93,1.64,1.19,1.18,1.0,1.16,0.77,0.93,0.87,0.88,0.92,0.93,0.95
g_1,1.46,1.4,1.79,1.52,1.39,1.29,0.88,0.84,1.0,0.96,1.06,0.82,0.73,0.84,0.76,0.76
c_0,1.61,1.51,1.19,1.7,1.26,1.42,1.16,1.28,1.04,1.0,1.01,1.34,0.93,0.89,1.01,0.91
f_0,1.35,1.48,1.67,1.62,1.6,1.36,1.16,1.02,0.98,1.01,1.0,0.96,0.93,1.32,0.93,0.76
b_0,1.52,1.59,1.4,1.98,1.55,1.08,1.2,1.11,1.2,0.75,0.99,1.0,0.98,0.96,1.29,1.0
h_0,1.56,1.8,1.73,1.63,1.57,1.38,1.23,1.14,1.4,1.05,1.08,1.04,1.0,0.88,0.95,1.07
e_0,1.59,1.96,1.73,1.8,1.57,1.35,1.33,1.15,1.27,1.19,0.82,1.03,1.14,1.0,1.2,0.98
a_0,1.76,1.66,1.71,1.9,1.93,1.48,1.32,1.14,1.3,1.0,1.05,0.77,1.09,0.83,1.0,0.96
g_0,1.63,1.68,2.03,1.59,1.67,1.48,1.08,1.06,1.28,1.15,1.29,1.06,0.93,1.02,1.03,1.0
