,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.16,1.49,0.6,0.59,0.48,0.55,0.91,0.84,0.95,0.81,1.05,0.6,0.92,1.08,0.74,0.88
e_1,0.63,11.79,0.51,0.92,0.71,0.61,0.79,0.92,2.55,0.93,1.01,0.95,1.11,1.05,0.63,0.96
d_1,0.74,0.54,15.16,0.45,0.63,0.6,1.19,1.07,0.54,2.42,1.19,1.16,1.2,1.11,1.21,1.22
c_1,0.57,0.51,0.72,14.93,1.84,0.55,0.85,0.75,0.7,0.36,0.64,0.89,0.81,0.89,0.84,0.77
b_1,0.62,0.69,0.59,0.65,15.65,1.85,0.87,0.81,0.71,0.85,0.52,0.87,0.74,0.52,0.94,0.83
a_1,0.7,0.6,0.72,0.68,0.64,22.48,0.95,0.79,0.88,1.06,0.88,0.96,1.17,0.52,1.12,1.12
h_1,1.49,0.61,0.84,0.63,0.6,0.65,3.44,1.51,0.73,0.86,1.19,1.01,0.74,1.2,0.99,1.58
g_1,0.56,0.67,1.78,0.75,0.57,0.85,1.01,4.55,0.8,0.94,0.94,2.04,1.2,0.82,1.43,0.82
d_0,0.75,0.67,0.5,2.64,0.71,0.63,0.99,0.95,2.36,0.64,1.11,0.94,1.07,1.08,0.91,0.93
c_0,0.94,0.68,0.92,0.58,0.47,0.78,1.26,1.12,1.19,2.4,2.99,1.34,1.08,1.47,1.17,1.24
b_0,0.98,0.66,1.02,0.89,0.36,0.59,1.12,1.22,0.98,1.14,2.74,1.09,1.26,3.15,1.23,1.24
f_0,0.55,0.45,1.0,1.1,0.74,0.89,1.42,1.29,1.1,1.21,1.37,3.49,1.23,1.16,3.63,1.22
h_0,1.22,0.67,0.89,0.82,0.62,0.66,0.65,1.59,0.94,0.98,1.17,1.05,0.85,0.96,1.31,1.45
a_0,0.86,0.73,1.02,0.91,0.65,0.44,1.02,1.26,1.01,0.86,1.03,1.18,1.16,3.78,1.01,1.15
e_0,0.94,0.47,1.04,0.95,0.56,0.83,1.27,1.57,0.89,1.18,1.45,1.47,1.27,0.88,3.95,1.04
g_0,0.62,0.54,1.81,0.85,0.66,0.48,1.08,1.01,0.79,1.04,1.2,2.01,1.26,1.12,1.15,1.09
