,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.06,1.47,2.0,2.12,1.89,1.93,0.77,0.83,0.79,0.65,0.68,0.75,0.61,0.55,0.48,0.98
f_1,2.19,1.06,1.94,1.95,1.81,1.83,0.66,1.01,0.65,0.56,0.58,0.78,0.56,0.34,0.52,0.4
d_1,2.55,2.16,1.06,2.13,2.0,1.8,0.88,0.58,0.85,0.68,0.68,0.55,0.51,0.47,0.35,0.48
c_1,2.07,2.23,2.57,1.06,2.5,1.46,0.85,0.71,0.43,0.85,0.6,0.56,0.61,0.53,0.55,0.52
b_1,2.81,3.08,2.56,1.58,1.06,2.69,0.93,0.94,0.79,0.91,1.18,0.85,0.73,0.59,0.5,0.55
a_1,3.82,3.42,3.38,4.62,1.97,1.07,1.88,1.21,1.16,0.98,1.02,1.0,1.45,0.83,0.79,0.94
h_1,5.52,5.35,5.22,5.38,5.73,3.5,1.31,2.14,1.72,1.78,1.66,1.38,1.42,1.62,1.29,1.3
g_1,5.65,6.34,5.99,6.67,5.96,5.03,1.9,1.33,1.8,1.89,1.6,1.65,1.54,1.15,1.28,1.58
d_0,3.98,6.83,9.0,7.6,6.68,5.14,2.63,2.87,1.5,1.85,1.97,1.93,1.83,1.73,1.41,1.72
c_0,6.02,8.28,4.21,10.07,6.67,5.72,2.4,2.39,2.7,1.49,2.38,2.02,1.92,1.7,1.28,1.64
b_0,6.87,6.99,5.85,9.42,9.6,5.56,2.65,2.89,2.19,1.34,1.46,2.04,2.19,1.86,1.65,1.83
f_0,6.56,10.92,7.56,7.89,7.2,5.94,3.0,1.9,2.15,2.02,2.04,1.47,1.98,1.93,1.07,2.13
a_0,8.92,8.97,8.86,8.71,8.71,9.5,3.39,3.69,3.08,2.31,1.73,2.44,1.56,1.79,1.8,2.39
h_0,7.89,11.0,8.81,8.58,8.63,6.45,3.65,3.9,2.75,2.5,2.5,2.3,2.61,2.82,1.95,2.1
g_0,10.34,9.91,12.31,10.18,11.11,8.77,3.42,5.02,3.45,3.26,2.81,3.63,2.69,2.04,2.73,2.57
e_0,10.6,16.77,11.74,11.45,10.08,7.77,4.08,3.45,2.94,3.42,3.17,1.79,2.62,2.4,2.05,1.65
