,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.88,0.08,0.17,0.08,0.06,0.05,0.08,0.05,0.08,0.06,0.01,0.06,0.07,0.06,0.05,0.02
d_1,0.11,0.88,0.08,0.06,0.07,0.03,0.07,0.07,0.03,0.13,0.08,0.08,0.09,0.07,0.05,0.04
e_1,0.09,0.07,0.87,0.08,0.08,0.05,0.08,0.06,0.14,0.08,0.07,0.07,0.09,0.07,0.03,0.01
c_1,0.09,0.09,0.08,0.87,0.15,0.03,0.08,0.05,0.08,0.01,0.06,0.05,0.08,0.07,0.05,0.05
b_1,0.1,0.09,0.07,0.09,0.87,0.08,0.08,0.05,0.07,0.07,0.07,0.02,0.07,0.07,0.03,0.05
a_1,0.09,0.1,0.07,0.08,0.06,0.87,0.08,0.07,0.08,0.08,0.09,0.07,0.07,0.06,,0.04
h_1,0.2,0.13,0.12,0.18,0.1,0.07,0.53,0.14,0.13,0.12,0.12,0.13,0.05,0.17,0.08,0.1
g_1,0.13,0.22,0.14,0.18,0.09,0.09,0.1,0.53,0.12,0.15,0.18,0.11,0.12,0.03,0.07,0.09
d_0,0.16,0.07,0.15,0.26,0.13,0.09,0.15,0.12,0.38,0.11,0.08,0.11,0.1,0.1,0.09,0.07
c_0,0.16,0.16,0.16,0.06,0.11,0.11,0.16,0.15,0.14,0.37,0.18,0.23,0.16,0.12,0.1,0.1
f_0,0.05,0.19,0.14,0.15,0.15,0.09,0.16,0.14,0.13,0.14,0.39,0.14,0.13,0.12,0.09,0.18
b_0,0.17,0.2,0.12,0.2,0.04,0.08,0.13,0.09,0.16,0.11,0.14,0.35,0.14,0.11,0.17,0.1
h_0,0.23,0.17,0.13,0.12,0.14,0.08,0.05,0.16,0.11,0.12,0.15,0.1,0.04,0.14,0.08,0.07
g_0,0.13,0.25,0.14,0.15,0.1,0.08,0.13,0.05,0.13,0.14,0.18,0.14,0.1,0.04,0.08,0.09
a_0,0.15,0.2,0.16,0.17,0.12,,0.17,0.1,0.14,0.08,0.14,0.1,0.15,0.15,0.35,0.06
e_0,0.14,0.21,0.05,0.14,0.12,0.1,0.16,0.16,0.14,0.14,0.13,0.15,0.16,0.14,0.11,0.36
