,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.62,0.67,0.48,0.76,0.48,0.65,0.83,1.86,0.91,0.91,1.22,1.03,1.1,1.2,1.0,0.56
f_1,1.06,2.66,0.56,0.6,0.56,0.48,0.96,0.77,0.83,1.0,0.77,0.3,0.83,0.9,0.78,0.56
d_1,0.61,0.71,3.02,0.44,0.58,0.59,0.93,0.38,0.84,1.72,1.03,1.02,1.02,0.97,1.07,1.14
c_1,0.54,0.63,0.65,3.17,1.13,0.49,0.8,0.81,0.93,0.28,0.79,0.83,0.78,0.77,0.66,0.95
b_1,0.54,0.55,0.71,0.56,4.04,1.23,0.9,0.7,0.88,0.64,0.3,1.08,0.8,0.97,0.83,1.2
a_1,0.58,0.64,0.67,0.65,0.49,5.09,0.93,0.89,0.84,1.07,0.96,1.05,0.32,1.15,1.47,0.95
h_1,0.71,1.01,0.82,0.7,0.76,0.66,2.84,0.92,1.28,1.05,1.03,1.15,1.06,0.67,1.33,1.24
d_0,0.61,0.79,0.38,1.44,0.82,0.7,1.0,2.15,1.13,0.81,1.11,1.13,1.16,1.14,1.02,1.13
g_1,0.65,0.49,1.26,0.76,0.65,0.65,1.09,0.83,3.85,1.14,1.24,1.89,1.1,0.91,0.75,1.37
c_0,0.9,0.77,0.8,0.47,0.61,0.73,1.04,1.29,0.92,2.38,2.19,1.22,1.09,1.24,1.56,1.09
b_0,0.71,0.93,0.83,0.91,0.31,0.51,1.12,1.13,1.06,1.09,2.77,1.28,2.44,1.06,1.38,1.26
f_0,0.63,0.41,0.98,0.9,0.74,0.71,1.17,1.2,1.21,1.05,1.2,3.01,1.46,1.21,1.38,2.58
a_0,0.66,0.79,0.97,1.01,0.78,0.27,1.21,1.34,0.96,1.02,1.16,1.21,3.49,1.32,1.22,1.26
h_0,0.75,1.09,0.84,0.74,0.55,0.82,0.68,1.18,1.47,0.94,1.12,1.1,1.13,0.64,1.58,1.08
g_0,0.66,0.7,1.21,0.81,0.66,0.56,1.23,1.03,0.55,0.98,1.39,1.88,1.35,1.3,0.78,1.05
e_0,0.3,1.02,0.87,0.87,0.81,0.7,1.18,1.06,1.27,1.07,1.08,1.18,1.24,1.32,1.19,3.47
