,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.23,0.06,0.04,0.03,0.03,0.02,0.04,0.07,0.07,0.03,0.05,,0.08,0.05,0.03,0.05
e_1,0.03,2.23,0.02,0.03,0.02,0.02,0.06,0.13,0.06,0.04,0.04,0.05,0.08,0.06,,0.06
d_1,0.03,0.02,2.35,0.03,0.03,0.03,0.04,,0.12,0.06,0.05,0.06,0.08,0.03,0.05,0.06
c_1,0.04,0.03,0.02,2.37,0.05,0.02,0.06,0.07,,0.05,0.04,0.06,0.07,0.05,0.05,0.06
b_1,0.03,0.02,0.03,0.02,2.43,0.06,0.06,0.08,0.07,0.05,,0.03,0.09,0.04,0.04,0.06
a_1,0.03,0.03,0.02,0.02,0.04,2.93,0.07,0.05,0.06,0.06,0.05,0.05,0.09,,,0.1
h_1,0.16,0.11,0.11,0.08,0.13,0.05,2.77,0.23,0.24,0.25,0.23,0.14,,0.16,0.17,0.47
d_0,0.16,0.14,,0.29,0.13,0.08,0.36,1.97,0.22,0.29,0.32,0.26,0.46,0.16,0.22,0.31
c_0,0.17,0.15,0.15,,0.09,0.13,0.31,0.34,2.02,0.17,0.65,0.22,0.37,0.22,0.26,0.31
g_1,0.11,0.08,0.17,0.11,0.08,0.08,0.18,0.25,0.18,3.22,0.17,0.36,0.33,0.2,,
b_0,0.19,0.21,0.14,0.16,,0.11,0.21,0.33,0.35,0.23,2.3,0.3,0.21,0.42,0.2,0.21
f_0,,0.14,0.15,0.15,0.15,0.09,0.24,0.24,0.29,0.15,0.42,2.39,0.48,0.23,,0.42
h_0,0.26,0.31,0.24,0.23,0.21,0.14,,0.43,0.56,0.33,0.44,0.47,,0.25,0.29,0.68
a_0,0.16,0.1,0.09,0.13,0.11,,0.37,0.29,0.38,0.3,0.27,0.49,0.49,2.7,,0.3
e_0,0.14,,0.16,0.15,0.14,,0.33,0.35,0.42,,0.23,,0.52,,3.04,
g_0,0.14,0.2,0.35,0.19,0.19,0.13,0.45,0.44,0.59,,0.41,0.79,0.48,0.44,,
