,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.14,12.26,9.84,9.66,9.63,10.77,3.08,2.39,1.88,10.9,2.74,1.88,1.39,1.85,0.99,2.37
f_1,12.18,1.14,10.47,11.53,12.42,8.39,2.42,2.28,4.26,2.33,2.0,5.77,1.13,2.43,1.71,1.78
e_1,14.08,6.11,1.14,12.42,12.31,13.46,3.28,2.6,3.65,2.22,2.69,3.42,1.65,2.65,2.17,9.92
c_1,18.48,16.29,12.66,1.14,16.54,13.37,3.34,7.61,3.29,1.47,2.32,2.44,2.15,3.2,2.02,3.14
b_1,13.77,18.68,14.11,7.66,1.15,21.53,5.57,3.4,5.14,2.62,21.32,3.14,2.48,2.9,2.43,2.89
a_1,22.02,23.02,19.91,24.73,11.0,1.15,7.23,5.28,6.09,4.65,4.39,5.71,3.97,25.19,3.64,4.17
h_1,21.9,24.11,29.95,37.9,27.23,27.69,1.92,4.57,8.07,6.05,5.15,5.59,9.16,4.07,4.34,4.53
c_0,15.72,31.86,39.14,126.87,30.99,34.0,8.55,2.59,11.97,8.53,6.63,6.1,5.83,6.83,5.62,6.02
g_1,27.45,39.21,43.59,36.94,39.07,31.26,5.83,6.81,1.91,7.0,6.28,4.47,3.87,7.2,6.95,4.59
d_0,68.87,28.09,19.35,34.74,39.65,36.57,10.99,7.15,13.61,2.68,8.07,5.65,4.63,8.06,5.23,5.65
b_0,29.83,34.64,35.87,57.22,86.97,28.5,12.09,3.89,11.02,7.15,2.65,9.1,6.07,7.9,5.54,6.8
f_0,38.26,127.43,40.05,47.84,32.1,36.57,10.85,7.87,7.71,9.5,6.78,2.65,6.15,8.06,3.64,7.06
h_0,45.1,49.56,49.91,52.11,50.87,46.14,30.21,9.57,14.16,10.39,8.65,9.76,20.41,7.75,7.49,8.34
a_0,43.54,64.87,55.55,78.86,70.95,,14.34,7.3,15.42,16.62,5.06,9.76,6.32,2.78,6.82,8.53
g_0,46.77,71.36,64.98,62.09,56.17,49.69,12.82,9.44,27.76,17.05,10.12,10.13,5.91,9.37,18.19,12.23
e_0,45.64,68.62,229.6,49.46,52.86,84.26,20.63,12.21,16.14,15.47,10.85,5.65,8.98,10.33,7.8,2.89
