,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.66,1.29,2.2,2.57,2.17,1.85,0.88,1.18,0.89,0.8,0.85,0.71,0.53,1.79,0.81,0.82
f_1,2.61,0.66,1.78,1.94,1.86,1.87,0.76,1.09,0.75,0.73,1.72,0.76,0.54,0.71,0.52,0.65
d_1,2.21,2.33,0.65,2.11,1.89,1.91,0.94,0.61,2.27,0.83,0.71,0.87,0.65,0.77,0.48,0.73
c_1,1.96,2.37,2.51,0.65,2.38,2.21,0.92,0.83,0.49,1.2,0.7,0.71,0.57,0.65,0.62,0.66
b_1,1.92,2.4,2.41,1.5,0.64,2.48,1.08,1.05,0.78,0.93,0.65,1.51,0.88,0.77,0.7,1.09
a_1,2.93,3.17,2.91,2.28,1.63,0.58,1.1,1.43,1.0,1.04,0.95,0.91,0.83,0.96,0.64,1.21
h_1,2.83,2.67,2.62,3.01,3.0,2.25,0.59,1.1,0.99,0.89,0.98,1.01,1.15,0.65,0.77,0.72
g_1,2.84,3.05,3.16,3.15,2.67,2.21,1.2,0.57,0.99,0.82,1.14,0.97,0.63,0.85,1.23,0.84
d_0,1.84,3.64,3.96,3.13,2.9,2.66,1.45,1.41,0.68,1.02,1.21,0.96,0.93,0.97,0.98,0.87
c_0,2.78,2.96,1.95,7.77,3.18,2.5,1.45,1.65,1.27,0.67,1.31,1.45,0.95,1.06,0.92,1.05
f_0,2.69,4.75,2.95,3.06,4.15,2.5,1.37,0.96,0.91,0.84,0.64,0.88,0.87,1.38,0.61,1.04
b_0,3.12,2.71,2.46,3.91,5.94,2.99,1.44,1.36,1.37,0.58,1.2,0.63,0.94,1.04,1.22,1.1
h_0,3.27,3.3,3.62,3.37,2.84,3.49,3.32,1.54,1.17,1.15,1.42,1.11,1.38,1.06,1.31,0.96
e_0,5.45,4.01,3.02,3.68,3.4,3.53,1.93,1.54,1.51,1.21,0.68,1.14,1.16,0.58,0.94,1.04
g_0,3.28,4.5,3.2,3.58,4.15,3.23,1.31,2.21,1.32,1.23,1.42,1.21,0.76,1.28,1.39,1.03
a_0,3.5,3.7,3.37,3.62,3.86,4.53,1.92,1.67,1.44,1.2,1.37,0.82,1.25,1.24,1.17,0.6
