,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.28,0.21,0.46,0.23,0.16,0.17,0.41,0.29,0.46,0.36,0.08,0.42,0.52,0.49,0.37,0.19
d_1,0.29,2.31,0.21,0.17,0.2,0.11,0.39,0.42,0.16,0.85,0.52,0.56,0.71,0.55,0.38,0.35
e_1,0.23,0.18,2.31,0.22,0.22,0.19,0.45,0.33,0.82,0.5,0.47,0.47,0.68,0.59,0.28,0.09
c_1,0.24,0.24,0.2,2.37,0.43,0.1,0.41,0.31,0.48,0.08,0.41,0.37,0.57,0.52,0.38,0.43
b_1,0.25,0.23,0.2,0.24,2.49,0.3,0.43,0.32,0.43,0.47,0.45,0.1,0.53,0.55,0.25,0.41
a_1,0.23,0.27,0.2,0.23,0.18,3.08,0.42,0.39,0.49,0.5,0.56,0.44,0.53,0.46,,0.32
h_1,0.51,0.35,0.31,0.49,0.3,0.23,2.8,0.84,0.79,0.77,0.75,0.89,0.36,1.36,0.66,0.84
g_1,0.33,0.59,0.38,0.48,0.27,0.33,0.54,3.11,0.71,0.93,1.15,0.75,0.91,0.24,0.53,0.73
d_0,0.41,0.18,0.39,0.71,0.37,0.32,0.79,0.72,2.28,0.7,0.54,0.77,0.75,0.82,0.72,0.59
c_0,0.41,0.43,0.42,0.17,0.31,0.38,0.86,0.86,0.87,2.36,1.13,1.53,1.17,0.98,0.8,0.79
f_0,0.13,0.5,0.36,0.42,0.42,0.33,0.84,0.85,0.77,0.92,2.51,0.92,1.01,0.97,0.76,1.54
b_0,0.43,0.52,0.32,0.55,0.12,0.29,0.68,0.52,0.97,0.7,0.91,2.35,1.06,0.91,1.38,0.8
h_0,0.61,0.44,0.34,0.33,0.39,0.28,0.25,0.92,0.64,0.78,0.96,0.68,0.34,1.12,0.66,0.57
g_0,0.33,0.66,0.36,0.4,0.29,0.28,0.71,0.32,0.79,0.9,1.2,0.96,0.79,0.32,0.62,0.76
a_0,0.38,0.52,0.43,0.45,0.34,,0.91,0.56,0.83,0.48,0.93,0.7,1.16,1.17,2.84,0.51
e_0,0.38,0.55,0.14,0.39,0.36,0.34,0.83,0.94,0.82,0.88,0.82,1.03,1.24,1.11,0.93,2.96
