,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.83,0.59,0.62,0.47,0.62,0.56,0.89,0.92,1.79,0.46,1.26,1.11,1.08,1.14,0.98,0.91
e_1,0.49,2.79,0.62,0.76,0.6,0.66,0.93,0.89,1.02,1.71,1.11,1.07,0.91,0.96,0.92,0.42
f_1,0.63,1.12,2.87,0.61,0.45,0.53,0.96,0.7,0.71,0.87,0.9,0.44,0.85,0.74,0.79,0.77
c_1,0.53,0.52,0.64,3.15,1.13,0.52,0.96,0.88,0.34,0.87,0.49,0.74,1.01,0.99,0.95,1.14
b_1,0.65,0.6,0.67,0.6,3.48,1.18,0.71,0.81,0.68,0.8,0.42,0.89,0.94,0.94,0.6,0.93
a_1,0.7,0.64,0.61,0.63,0.58,5.0,0.77,0.8,0.94,0.83,0.97,1.12,1.02,0.78,0.49,0.89
h_1,0.89,0.49,0.95,0.68,0.82,0.6,3.11,1.61,1.24,1.06,0.98,1.09,0.59,1.62,1.22,1.4
g_1,1.36,0.55,0.73,0.64,0.71,0.72,0.97,3.71,0.94,0.63,1.06,1.55,0.97,0.64,1.33,1.25
c_0,0.91,0.81,0.88,0.39,0.54,0.69,1.22,1.25,2.36,1.12,2.36,1.13,1.38,1.3,1.53,1.33
d_0,0.42,0.66,0.88,1.51,0.66,0.58,1.29,1.1,0.78,2.31,1.01,1.26,1.23,1.27,1.22,1.32
b_0,0.88,0.69,0.89,0.89,0.32,0.48,1.11,1.17,1.13,1.4,2.7,1.08,1.33,1.14,2.94,1.18
f_0,1.0,0.71,0.4,0.89,0.66,0.6,1.23,1.14,1.13,1.2,1.24,2.83,1.27,1.24,1.22,2.29
h_0,0.8,0.74,1.17,0.82,0.68,0.53,0.67,1.56,1.07,1.08,1.24,1.01,0.69,1.63,0.86,1.38
g_0,1.19,0.71,0.75,0.71,0.6,0.79,1.07,0.73,1.17,1.04,1.14,2.01,1.08,0.83,1.3,1.39
a_0,0.83,0.64,0.83,1.01,0.86,0.21,1.02,1.24,0.98,1.04,1.03,1.28,1.57,1.17,3.82,1.34
e_0,1.01,0.36,0.87,0.74,0.83,0.58,1.17,1.21,1.22,1.03,1.33,1.15,1.42,1.03,1.37,3.97
