,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.26,0.59,0.52,0.44,0.53,0.39,1.27,2.26,1.07,0.73,1.45,1.21,1.63,1.13,1.6,1.25
f_1,0.54,2.32,1.06,0.48,0.39,0.41,1.09,1.0,0.77,1.29,1.15,0.43,1.41,0.87,1.13,0.74
e_1,0.57,0.61,2.36,0.63,0.54,0.43,0.95,1.05,0.79,2.15,1.16,1.15,1.55,0.96,1.22,0.43
c_1,0.64,0.51,0.52,2.55,0.98,0.37,0.73,0.53,0.83,1.16,0.67,0.98,1.4,0.78,1.2,1.06
b_1,0.65,0.56,0.51,0.43,2.64,0.89,1.03,1.19,0.86,0.97,0.7,1.26,1.41,0.81,1.36,0.94
a_1,0.61,0.73,0.54,0.61,0.42,3.08,1.04,1.14,1.03,1.08,1.35,1.19,1.58,0.47,1.52,0.71
h_1,0.73,0.94,0.71,0.79,0.44,0.43,3.08,1.43,1.72,1.2,1.28,1.41,1.17,1.3,2.01,1.25
c_0,0.8,0.74,0.66,0.49,0.52,0.54,1.41,2.71,1.35,1.5,2.73,1.28,1.89,1.7,1.88,1.3
g_1,1.15,0.65,0.58,0.66,0.54,0.45,1.29,1.31,3.29,1.02,1.27,2.04,1.78,1.1,1.35,1.35
d_0,0.43,0.74,0.74,1.32,0.67,0.44,1.16,1.04,1.13,2.64,1.36,1.24,1.85,0.95,1.31,0.95
b_0,0.7,0.84,0.67,0.75,0.42,0.48,1.39,1.39,1.24,1.27,2.84,1.55,1.84,2.55,1.77,1.33
f_0,0.88,0.52,0.5,0.79,0.69,0.48,1.29,1.64,1.48,1.47,1.31,2.98,1.82,1.62,1.86,2.7
h_0,0.79,1.02,0.72,0.7,0.56,0.44,0.85,1.41,1.48,1.42,1.33,1.38,1.2,1.22,2.17,1.21
a_0,0.91,0.77,0.72,0.73,0.53,0.29,1.76,1.44,1.21,1.42,1.34,1.31,2.1,3.14,1.95,1.28
g_0,1.27,0.6,0.58,0.68,0.52,0.42,1.23,1.55,1.0,1.16,1.34,2.33,1.74,1.29,1.33,1.4
e_0,0.77,0.89,0.42,0.7,0.62,0.63,1.6,1.65,1.63,1.51,1.38,1.33,1.95,1.16,1.45,3.11
