,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.64,1.08,1.11,0.87,0.9,0.83,0.42,0.43,0.38,0.3,0.35,0.31,0.26,0.34,0.32,0.19
f_1,0.86,0.65,1.08,0.98,0.88,0.76,0.35,0.42,0.33,0.46,0.34,0.38,0.24,0.33,0.28,0.29
e_1,0.96,0.69,0.64,1.12,1.06,0.87,0.42,0.46,0.37,0.51,0.37,0.4,0.33,0.35,0.37,0.34
c_1,1.27,0.97,0.81,0.63,1.06,0.83,0.46,0.25,0.4,0.41,0.33,0.35,0.29,0.32,0.35,0.29
b_1,1.11,1.16,0.96,0.74,0.61,1.28,0.5,0.35,0.46,0.45,0.47,0.36,0.32,0.33,0.34,0.28
a_1,1.19,1.34,1.26,1.2,0.68,0.57,0.52,0.42,0.48,0.55,0.59,0.51,0.38,0.57,0.41,0.36
h_1,1.55,1.67,1.58,1.57,1.43,1.37,0.54,0.57,0.55,0.73,0.54,0.59,0.5,0.44,0.52,0.52
d_0,2.03,1.49,1.13,2.0,1.72,1.65,0.89,0.55,0.6,0.87,0.68,0.74,0.55,0.57,0.62,0.65
c_0,1.25,1.85,1.78,2.01,1.7,1.58,0.85,0.79,0.54,0.76,0.72,0.6,0.56,0.62,0.55,0.47
g_1,1.87,1.68,1.57,1.81,1.69,1.48,0.68,0.63,0.6,0.51,0.62,0.67,0.39,0.5,0.55,0.5
b_0,1.58,1.9,1.75,2.31,1.92,1.47,0.83,0.69,0.46,0.75,0.52,0.61,0.56,0.63,0.64,0.48
f_0,1.86,2.15,1.85,1.88,1.82,1.63,0.77,0.7,0.64,0.6,0.68,0.52,0.56,0.61,0.69,0.41
h_0,2.1,2.17,1.88,1.95,1.87,1.63,1.0,0.72,0.68,0.9,0.67,0.71,0.62,0.64,0.61,0.63
a_0,1.88,2.24,1.95,2.14,2.48,2.09,1.06,0.74,0.63,1.07,0.54,0.74,0.57,0.5,0.7,0.58
e_0,2.01,2.74,2.35,2.1,1.97,1.84,0.94,0.86,0.81,0.79,0.78,0.47,0.61,0.69,0.51,0.55
g_0,2.54,2.21,2.08,2.36,2.12,2.04,0.86,0.77,0.83,1.07,0.81,0.84,0.53,0.71,0.66,0.68
