,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.35,0.86,0.74,1.08,0.74,0.59,1.54,3.03,1.21,1.43,1.71,1.8,2.16,1.07,1.39,1.85
f_1,1.59,2.41,0.68,0.71,0.59,0.53,1.47,1.81,1.28,1.82,1.12,1.57,2.1,0.85,1.6,1.7
d_1,0.79,0.95,2.47,0.58,0.77,0.59,1.57,1.08,1.41,3.25,1.62,1.87,2.08,1.6,1.48,2.16
c_1,0.71,0.76,0.74,2.46,1.54,0.64,1.61,1.69,1.17,0.85,1.71,1.0,2.08,1.31,1.05,1.92
b_1,0.75,0.77,0.83,0.82,2.59,1.4,1.5,1.68,1.43,1.52,1.52,0.97,2.12,1.45,1.09,2.01
a_1,0.82,1.02,0.84,0.91,0.71,3.04,1.37,1.86,1.35,1.29,1.74,1.44,2.53,1.55,1.05,1.78
h_1,0.87,1.28,1.01,0.9,0.79,0.57,3.23,1.58,2.29,1.71,1.64,1.64,1.68,1.58,1.75,2.93
d_0,0.83,0.82,0.64,1.61,0.98,0.69,1.71,3.0,1.56,1.2,1.94,1.8,2.3,1.62,1.96,2.08
g_1,0.83,0.86,1.4,0.89,0.8,0.75,1.51,1.48,3.53,1.76,2.7,1.62,2.07,1.55,1.53,1.55
c_0,1.03,1.01,1.06,0.68,0.55,0.7,1.73,2.16,1.54,3.17,1.96,3.61,2.42,1.49,2.4,2.53
f_0,0.77,0.71,1.01,1.07,0.89,0.82,1.88,1.96,1.79,1.9,3.22,1.98,2.38,3.21,1.75,2.36
b_0,0.93,1.1,0.87,1.06,0.56,0.41,1.95,2.13,1.84,1.66,1.82,3.32,2.49,1.73,3.83,2.34
h_0,0.84,1.27,0.98,0.87,0.83,0.8,1.38,2.07,2.16,1.72,1.74,1.68,1.79,1.53,1.43,2.56
e_0,0.7,1.04,1.01,0.96,0.75,0.66,2.07,1.99,2.08,1.96,1.66,2.0,2.99,3.61,2.37,2.62
a_0,0.99,0.94,1.05,0.97,0.84,0.45,2.0,1.97,1.99,2.12,1.81,2.02,2.12,1.39,3.31,2.11
g_0,0.72,0.83,1.46,0.76,0.93,0.69,1.66,1.58,1.49,2.08,2.76,1.63,2.2,1.76,1.88,1.84
