,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.43,1.24,1.25,1.01,1.09,1.05,0.31,0.23,0.2,0.37,0.25,0.21,0.16,0.2,0.1,0.22
f_1,1.12,0.43,1.1,1.33,1.21,1.03,0.25,0.24,0.37,0.26,0.21,0.33,0.13,0.22,0.2,0.19
e_1,1.38,0.7,0.42,1.29,1.34,1.17,0.34,0.29,0.4,0.26,0.26,0.34,0.18,0.25,0.22,0.36
c_1,1.5,1.5,1.02,0.39,1.57,1.05,0.32,0.38,0.36,0.15,0.25,0.24,0.17,0.25,0.19,0.23
b_1,1.38,1.67,1.26,0.75,0.37,1.39,0.51,0.33,0.42,0.27,0.46,0.28,0.21,0.33,0.22,0.28
a_1,1.73,1.67,1.68,1.76,0.75,0.32,0.53,0.35,0.53,0.36,0.41,0.36,0.28,0.55,0.29,0.3
h_1,1.82,2.09,2.05,2.71,2.09,1.97,0.31,0.42,0.56,0.49,0.4,0.43,0.38,0.34,0.32,0.37
c_0,1.38,2.79,2.82,3.55,2.25,2.41,0.69,0.33,0.64,0.66,0.56,0.51,0.4,0.48,0.34,0.46
g_1,2.11,2.77,2.52,2.63,2.38,2.1,0.48,0.44,0.29,0.55,0.46,0.39,0.28,0.46,0.34,0.39
d_0,3.3,2.31,1.38,2.36,2.69,2.62,0.75,0.53,0.88,0.34,0.59,0.51,0.39,0.62,0.47,0.48
b_0,2.02,2.72,2.49,3.6,3.1,2.25,0.78,0.3,0.74,0.57,0.31,0.58,0.38,0.53,0.39,0.48
f_0,2.45,3.81,2.39,2.95,2.34,2.46,0.75,0.55,0.54,0.61,0.51,0.3,0.42,0.59,0.23,0.54
h_0,2.66,2.8,2.63,2.85,2.93,2.7,1.09,0.58,0.76,0.63,0.57,0.57,0.52,0.51,0.42,0.47
a_0,2.64,3.26,2.98,3.9,3.43,4.05,0.88,0.5,0.78,0.78,0.34,0.63,0.45,0.29,0.45,0.64
g_0,2.81,3.54,3.13,3.47,3.06,2.63,0.8,0.62,1.02,0.72,0.61,0.61,0.35,0.54,0.48,0.64
e_0,2.89,4.28,4.13,2.78,3.3,2.92,0.93,0.73,0.67,0.87,0.53,0.34,0.49,0.58,0.39,0.3
