,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,14.63,1.14,0.49,0.64,0.55,0.45,0.87,0.88,0.84,0.72,0.94,0.35,0.83,0.59,0.66,0.78
e_1,0.68,15.58,0.46,0.69,0.44,0.59,0.86,2.08,0.77,0.84,0.84,1.0,0.95,0.62,0.96,0.92
d_1,0.67,0.52,17.47,0.33,0.52,0.61,0.91,0.37,0.9,2.42,1.18,1.02,1.16,1.26,1.36,0.94
c_1,0.54,0.49,0.5,18.51,1.3,0.46,0.89,0.98,0.73,0.29,0.75,0.86,1.06,0.84,0.83,0.75
b_1,0.42,0.57,0.67,0.59,19.97,1.53,0.87,0.75,0.78,0.71,0.34,0.81,0.66,0.59,0.56,0.94
a_1,0.59,0.5,0.68,0.6,0.51,28.01,0.82,0.74,0.91,0.94,0.98,1.35,1.13,1.19,0.59,1.22
h_1,1.22,0.55,0.87,0.75,0.6,0.6,4.97,1.12,1.88,1.18,1.2,0.99,0.79,1.46,1.2,1.71
d_0,0.82,0.69,0.28,2.2,0.73,0.58,1.11,2.77,0.91,0.79,0.96,1.3,1.27,1.43,0.92,1.35
g_1,0.59,0.56,1.5,0.71,0.74,0.63,0.9,0.93,5.83,1.01,1.59,2.57,1.15,1.3,1.33,0.86
c_0,0.8,0.53,0.91,0.48,0.59,0.75,1.39,0.91,1.8,3.38,3.41,1.39,1.39,1.38,1.82,1.49
b_0,0.76,0.81,0.99,0.8,0.3,0.45,1.43,1.21,1.44,1.12,3.36,1.4,1.11,1.61,3.7,1.23
f_0,0.39,0.51,1.17,0.8,0.91,0.67,0.98,0.98,1.44,1.26,1.41,3.72,1.62,3.53,1.38,1.44
h_0,1.04,0.59,0.76,0.72,0.7,0.92,0.66,1.08,1.43,1.18,1.35,1.26,0.83,1.45,1.2,1.63
e_0,0.71,0.3,0.97,0.73,1.02,0.74,1.51,1.42,1.51,1.39,1.46,1.38,1.45,5.07,0.98,2.26
a_0,0.79,0.67,0.97,0.89,0.77,0.25,1.34,1.05,1.1,1.45,1.35,1.28,1.3,1.14,4.24,1.2
g_0,0.51,0.47,1.71,0.73,0.78,0.66,1.28,0.86,1.0,1.12,1.33,2.65,1.19,1.35,1.41,0.97
