,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.04,1.07,1.48,1.54,1.46,1.15,0.59,0.47,0.56,0.53,0.43,0.52,0.33,0.4,0.45,0.36
f_1,1.64,1.04,1.44,1.53,1.28,1.26,0.46,0.43,0.55,0.45,0.42,0.48,0.29,0.36,0.32,0.33
d_1,1.63,1.82,1.04,1.43,1.37,1.32,0.58,0.55,0.4,0.56,0.44,0.43,0.34,0.42,0.44,0.27
c_1,1.53,1.79,2.13,1.05,1.76,1.54,0.69,0.61,0.7,0.36,0.53,0.49,0.41,0.43,0.47,0.36
b_1,2.05,2.2,2.14,1.29,1.05,2.04,0.76,0.69,0.65,0.55,0.65,0.55,0.46,0.51,0.52,0.46
a_1,2.57,2.44,2.32,2.11,1.28,1.06,0.99,0.79,0.84,0.72,1.0,0.73,0.59,1.0,0.63,0.54
h_1,4.27,4.82,4.3,4.3,3.93,3.06,1.24,1.24,1.66,1.34,1.23,1.23,1.2,1.14,1.07,1.04
c_0,5.27,5.83,3.59,5.88,4.75,4.07,1.99,1.31,1.69,1.79,1.7,1.37,1.21,1.4,1.28,1.08
g_1,5.44,5.61,5.6,4.72,4.75,3.87,1.68,1.47,1.26,1.42,1.46,1.52,1.0,1.43,1.3,1.19
d_0,4.07,5.27,5.83,6.16,5.53,4.5,2.1,1.58,2.12,1.39,1.65,1.44,1.2,1.43,1.51,1.2
b_0,5.94,5.64,5.02,5.87,5.97,4.13,2.22,1.19,1.91,1.53,1.34,1.51,1.19,1.93,1.42,1.09
f_0,5.52,7.27,5.76,5.84,5.42,4.31,2.08,1.73,1.68,1.78,1.69,1.36,1.46,1.69,1.78,1.03
h_0,7.13,7.32,6.42,6.67,6.31,5.49,2.87,1.99,2.74,2.05,2.23,2.01,1.78,1.76,1.63,1.6
a_0,7.26,8.09,6.33,8.01,7.81,5.95,2.65,1.89,2.42,2.09,1.33,1.86,1.62,1.41,1.68,1.44
e_0,8.27,10.83,6.85,7.61,6.95,5.5,2.69,2.29,2.7,2.16,2.26,1.39,1.82,2.04,1.43,1.51
g_0,7.62,8.5,8.0,7.93,7.24,6.76,2.41,2.32,3.44,2.16,2.5,2.52,1.64,2.18,2.01,1.96
