,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.15,75.55,79.07,75.76,90.16,103.39,16.49,31.09,17.89,12.76,15.75,,8.2,17.08,12.96,14.17
e_1,52.46,1.15,96.64,94.12,90.16,97.95,23.62,22.8,14.98,18.94,21.81,18.86,12.81,13.67,,14.82
d_1,111.09,86.61,1.15,155.3,79.86,77.54,25.71,15.2,19.52,,16.68,16.5,10.0,14.64,22.69,7.09
c_1,89.93,98.64,72.48,1.15,111.8,93.05,24.97,45.6,,10.59,25.77,22.96,15.19,20.5,17.29,16.3
b_1,111.09,122.45,139.16,55.46,1.15,97.95,28.19,40.24,26.83,23.15,,17.03,12.81,31.54,25.93,16.3
a_1,171.68,253.64,144.96,163.47,103.52,1.15,39.73,40.24,28.0,32.89,,,29.29,,,25.08
h_1,80.36,118.37,94.03,79.64,58.23,84.59,2.0,26.31,20.12,19.53,16.2,24.0,,18.64,19.11,12.54
g_1,130.24,101.46,105.42,129.42,116.46,132.93,29.13,2.0,30.67,28.41,25.77,26.4,11.71,21.58,25.93,
c_0,104.92,78.91,64.43,,107.5,103.39,27.31,22.8,2.89,19.53,18.9,21.12,13.67,27.33,16.5,12.54
d_0,89.93,60.19,,147.9,99.82,80.91,27.31,28.5,20.12,3.03,16.2,15.53,13.67,18.64,30.25,13.04
b_0,96.85,98.64,124.25,107.1,,,30.14,40.24,10.56,22.32,2.94,17.6,22.78,25.62,27.92,23.29
f_0,,114.55,151.26,115.04,99.82,,41.62,24.43,23.85,24.04,33.35,2.92,15.19,21.58,20.17,7.24
h_0,89.93,114.55,94.03,86.28,111.8,97.95,,22.06,21.47,21.55,16.68,26.4,,13.67,12.96,18.11
a_0,151.08,142.04,165.67,182.71,215.0,,32.37,42.75,33.89,26.04,16.68,37.71,21.58,3.08,,21.73
e_0,222.18,,183.11,147.9,186.33,,46.0,28.5,40.25,56.82,37.8,16.5,21.58,,2.9,25.08
g_0,171.68,273.15,105.42,103.53,174.69,109.47,24.97,,26.83,22.32,21.81,24.0,11.39,37.27,27.92,
