,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.1,3.49,3.15,3.22,2.99,2.62,0.72,0.51,0.58,1.0,0.61,0.51,0.42,0.3,0.54,0.5
e_1,2.85,1.11,1.81,3.61,3.15,2.71,1.06,1.06,0.62,0.72,0.66,0.7,0.46,0.48,0.68,1.04
f_1,2.97,3.02,1.11,3.16,2.85,2.81,0.7,0.89,0.59,0.63,0.61,0.88,0.31,0.49,0.58,0.54
c_1,4.53,2.81,3.15,1.1,3.27,3.24,1.14,1.11,1.08,0.39,0.66,0.6,0.46,0.53,0.59,0.69
b_1,3.97,4.03,4.23,2.13,1.12,3.89,1.12,1.2,1.14,0.95,1.36,0.96,0.64,0.65,0.76,0.81
a_1,6.25,5.6,6.26,6.24,2.63,1.14,1.73,1.76,1.32,1.36,1.82,1.42,1.0,0.8,2.56,1.17
h_1,11.24,9.85,11.45,12.52,13.18,11.25,1.62,3.36,2.32,2.27,2.43,2.27,2.35,1.74,2.59,2.05
g_1,13.72,13.85,15.53,13.88,16.05,12.91,2.82,1.64,3.08,3.31,2.89,2.54,1.66,2.69,2.78,2.8
c_0,8.53,13.29,16.18,29.41,17.89,12.49,3.82,4.2,1.91,4.43,2.9,2.86,2.31,1.94,3.06,3.25
d_0,19.09,8.73,14.48,16.03,16.14,13.36,4.57,6.83,3.14,2.01,3.1,3.11,2.27,2.27,3.17,3.41
b_0,12.84,13.48,17.06,27.4,23.8,12.66,4.57,4.39,1.87,3.69,1.95,2.98,2.35,2.11,4.11,3.1
f_0,17.6,16.38,24.45,22.58,20.5,16.31,5.18,4.2,4.47,4.37,4.2,2.17,3.33,1.74,4.02,3.47
h_0,19.61,21.74,22.53,20.68,21.77,18.68,8.2,6.69,4.27,4.59,4.11,4.07,4.39,3.14,3.73,3.55
g_0,22.98,24.4,30.24,29.15,28.36,29.6,5.56,9.39,5.2,5.81,5.06,5.38,2.66,4.35,5.11,4.78
a_0,24.71,24.24,28.02,29.96,40.7,40.94,7.33,6.38,4.3,5.38,2.74,4.85,4.62,3.5,2.32,5.21
e_0,28.86,32.32,34.13,25.05,27.0,25.65,6.96,6.5,5.79,5.38,5.64,2.87,3.92,3.37,5.77,2.39
