,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.36,0.64,0.89,1.05,0.8,0.56,1.55,3.14,1.65,1.41,1.54,1.72,2.09,2.35,0.8,1.42
d_1,0.72,2.42,0.85,0.65,0.69,0.6,1.47,1.14,3.15,1.38,2.2,1.81,2.36,2.07,1.89,1.73
f_1,1.46,0.7,2.39,0.93,0.64,0.63,1.25,1.66,1.48,1.15,1.42,0.84,2.29,1.62,1.01,1.11
c_1,0.81,0.71,0.84,2.41,1.52,0.57,1.54,1.35,1.09,1.28,1.07,1.58,1.94,1.71,1.22,1.15
b_1,0.84,0.86,0.88,0.75,2.59,1.3,1.49,1.61,1.46,1.38,0.97,1.54,2.07,1.93,1.28,1.12
a_1,0.89,0.87,0.94,0.86,0.58,3.09,1.73,1.88,1.72,1.45,1.79,1.99,2.11,2.06,1.49,1.03
h_1,0.9,0.97,1.21,0.87,0.78,0.69,3.38,1.72,1.66,1.94,1.77,1.75,1.68,2.8,1.44,1.6
d_0,0.88,0.51,1.02,1.65,1.01,0.68,1.8,3.03,1.16,1.45,1.72,1.61,2.14,1.78,1.22,1.74
c_0,0.93,1.13,0.97,0.77,0.7,0.72,1.61,1.96,3.12,1.38,3.35,2.06,2.39,2.42,1.68,2.08
g_1,0.62,1.36,0.75,0.92,0.91,0.63,1.65,1.59,1.93,3.58,1.86,2.73,2.15,1.79,1.86,1.5
b_0,0.89,1.01,1.1,0.95,0.63,0.56,1.93,1.76,1.99,1.42,3.35,1.87,2.64,2.54,1.44,3.31
f_0,0.78,1.15,0.63,0.93,0.88,0.76,1.8,2.03,2.05,1.59,2.16,3.22,2.64,2.71,3.07,1.74
h_0,0.98,0.99,1.26,0.95,0.73,0.65,1.32,2.0,1.72,1.97,1.74,1.89,1.68,2.85,1.35,1.47
g_0,0.81,1.48,0.8,0.94,0.8,0.66,1.7,1.59,1.97,1.47,1.58,2.78,2.19,1.57,1.5,1.55
e_0,0.48,1.13,1.03,0.95,0.95,0.81,1.96,1.63,2.08,1.53,2.11,2.07,2.88,2.5,3.7,1.93
a_0,0.81,1.01,0.89,1.11,0.82,0.59,1.63,1.95,1.96,1.7,1.95,1.83,2.77,2.2,1.57,3.41
