,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,4.59,2.67,4.56,4.81,4.42,1.32,1.62,1.1,0.93,1.09,1.13,0.87,1.0,2.16,0.76
d_1,5.86,1.11,5.16,4.63,4.56,3.8,1.47,0.83,1.86,0.85,0.88,0.81,0.57,0.98,0.76,0.47
f_1,4.6,4.2,1.12,3.99,4.72,4.95,0.9,1.34,0.88,0.87,0.88,1.77,0.47,0.96,0.75,0.75
c_1,4.14,6.5,4.66,1.12,5.12,5.06,1.44,1.39,0.56,1.79,0.97,0.93,0.67,0.8,0.88,0.63
b_1,5.32,5.59,5.58,2.93,1.13,5.7,2.08,1.63,1.27,1.47,2.32,1.34,0.79,1.09,1.25,0.89
a_1,7.91,8.14,9.06,10.97,3.78,1.14,2.02,2.99,2.03,1.66,2.0,1.51,1.53,2.85,2.09,1.24
h_1,14.7,14.71,19.59,17.89,12.64,14.28,1.73,4.21,3.52,2.97,3.26,3.19,3.61,2.61,2.65,2.38
g_1,18.67,15.58,18.73,17.59,16.73,13.99,3.55,1.72,3.63,3.27,3.48,3.31,2.0,2.87,3.54,3.97
d_0,9.64,34.82,20.78,19.08,22.14,18.78,5.64,7.66,2.32,4.39,4.45,3.64,2.84,3.83,3.81,2.93
c_0,19.08,10.53,18.93,40.88,21.81,19.13,5.27,4.85,5.84,2.23,4.05,4.4,3.16,3.95,3.9,2.78
b_0,17.91,16.48,20.29,33.85,42.07,19.69,5.13,5.51,4.31,1.97,2.18,3.99,2.66,3.22,3.51,2.53
f_0,23.68,20.31,36.26,28.62,26.29,16.49,6.89,4.26,5.21,4.48,4.65,2.31,3.43,3.46,3.94,1.9
h_0,30.42,34.82,27.48,29.7,33.85,26.34,13.0,9.01,6.46,6.24,6.11,5.06,7.04,5.23,4.69,4.19
a_0,30.96,26.66,32.46,31.8,53.55,56.33,9.48,10.94,7.3,5.66,3.52,6.58,5.28,2.65,5.6,3.92
e_0,51.14,35.18,45.44,35.77,43.96,36.21,11.68,9.34,7.15,6.61,7.51,3.12,4.56,5.69,2.59,4.24
g_0,43.04,37.09,34.08,42.54,39.27,33.8,8.67,17.02,9.6,8.46,8.77,8.03,4.13,7.3,7.38,8.97
