,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.57,1.62,0.59,0.67,0.59,0.62,0.96,0.84,1.01,0.7,0.82,0.6,0.88,0.9,0.66,0.84
e_1,0.73,10.87,0.63,1.04,0.57,0.6,0.98,1.01,2.5,0.82,1.06,1.01,1.0,1.01,0.74,0.93
d_1,0.71,0.65,12.61,0.5,0.64,0.72,1.05,0.95,0.49,2.85,1.25,1.01,1.07,1.05,1.17,1.1
c_1,0.6,0.53,0.7,12.56,2.01,0.81,0.76,0.8,0.79,0.61,0.68,0.9,0.91,0.78,0.92,0.79
b_1,0.69,0.55,0.69,0.78,14.01,1.75,0.86,0.76,0.8,0.87,0.7,0.94,1.0,0.72,1.04,0.89
a_1,0.8,0.72,0.84,0.69,0.64,17.44,1.03,1.16,0.92,0.92,0.93,1.02,1.0,0.75,0.91,1.16
h_1,1.6,0.74,0.84,0.78,0.67,0.59,2.98,1.38,0.91,0.85,1.17,1.08,0.84,1.03,1.26,1.61
g_1,0.59,0.73,1.62,0.76,0.7,0.66,0.99,3.75,0.92,1.03,1.19,2.19,0.85,1.22,1.21,1.02
d_0,0.72,0.75,0.56,2.33,0.92,0.66,0.87,0.97,2.03,0.51,0.79,1.0,1.02,0.95,1.08,0.9
c_0,0.84,0.78,0.9,0.71,0.56,0.63,1.25,1.23,1.05,1.71,3.24,1.32,1.38,1.52,1.37,1.36
b_0,0.98,0.84,0.88,0.75,0.59,0.67,1.15,1.27,0.99,1.02,2.53,1.23,1.17,3.16,1.17,1.08
f_0,0.65,0.55,0.97,0.78,0.85,0.96,1.03,1.03,1.02,1.38,1.09,2.6,1.37,1.19,3.27,1.44
h_0,1.11,0.71,1.03,0.74,0.68,0.74,0.8,1.33,0.82,1.0,1.09,1.06,0.83,1.33,0.88,1.82
a_0,0.76,0.67,0.86,0.87,1.07,0.48,1.38,1.37,1.02,1.15,1.22,1.54,1.23,2.91,1.48,1.03
e_0,0.74,0.46,0.93,0.97,0.86,0.76,1.16,1.16,0.98,1.28,1.41,1.25,1.58,1.19,2.59,1.54
g_0,0.72,0.61,1.78,0.67,0.75,0.72,1.0,0.79,0.74,1.12,1.05,1.73,1.27,1.19,1.28,0.78
