,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.45,1.53,1.56,2.05,1.86,1.53,3.19,3.28,3.24,5.34,3.98,3.73,4.67,3.5,5.22,4.02
f_1,2.28,2.46,1.53,1.67,1.55,1.53,2.88,3.18,3.54,3.79,2.93,3.61,4.11,2.89,4.15,3.72
d_1,1.7,1.79,2.57,1.62,1.52,1.61,3.21,2.95,5.32,3.18,3.79,4.26,4.65,3.93,4.26,3.81
c_1,1.45,1.7,1.6,2.64,2.59,1.84,3.2,3.13,2.53,3.05,3.47,2.75,4.47,3.5,4.29,3.65
b_1,1.52,1.69,1.75,1.41,2.85,2.79,3.53,3.46,3.75,3.34,3.64,2.7,4.47,4.33,4.39,3.02
a_1,1.75,1.83,1.86,1.57,1.41,3.22,3.44,3.66,3.82,3.59,3.6,3.77,4.94,3.63,4.71,2.98
h_1,1.79,2.11,1.78,1.73,1.48,1.67,4.34,4.13,3.57,3.65,3.48,3.53,4.3,4.1,5.06,3.79
g_1,1.72,1.62,2.24,1.68,1.38,1.74,3.15,4.76,3.78,3.67,5.09,3.81,3.84,4.14,4.43,3.97
c_0,1.77,1.78,1.73,1.81,1.47,1.69,3.4,3.57,4.59,4.45,4.09,5.89,4.75,4.2,4.42,5.38
d_0,1.52,1.77,1.45,2.67,2.08,1.64,3.25,3.13,2.53,4.42,3.79,3.28,4.54,3.89,4.71,4.2
f_0,1.51,1.72,1.75,2.03,1.89,1.7,3.51,2.86,3.59,3.89,4.83,4.14,4.85,6.51,4.61,3.9
b_0,1.67,1.8,1.8,2.06,1.75,1.5,3.4,3.59,3.35,4.02,4.0,5.02,5.09,4.48,4.42,7.15
h_0,1.67,1.94,1.84,1.84,1.67,1.66,2.89,4.04,3.57,3.79,3.71,3.57,4.29,3.69,5.7,3.87
e_0,1.37,2.19,1.77,1.81,1.67,1.96,3.63,3.55,3.86,3.2,3.25,3.75,4.69,5.58,4.27,3.76
g_0,1.5,1.63,2.18,1.77,1.78,1.71,3.48,2.76,3.9,3.31,4.98,3.67,4.21,4.69,4.29,4.15
a_0,1.64,1.76,1.91,1.94,2.0,1.57,3.43,3.33,3.05,3.82,3.87,3.17,4.85,4.2,4.66,5.68
