,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.43,4.81,5.27,4.15,4.95,4.36,1.04,0.72,0.95,0.8,3.66,0.86,0.49,0.84,0.82,0.39
f_1,4.13,0.43,4.34,5.27,3.58,3.98,0.93,1.62,0.95,0.84,0.96,2.14,0.59,0.85,0.89,0.75
e_1,5.42,2.36,0.43,4.12,4.76,3.87,1.66,1.6,1.03,0.98,0.8,1.06,0.73,1.24,8.0,0.91
c_1,5.96,5.49,3.72,0.41,5.69,4.97,1.18,1.24,4.01,0.9,0.42,0.85,0.67,1.01,0.77,0.8
b_1,4.6,5.23,4.42,2.98,0.39,8.51,1.46,1.39,1.22,3.88,1.2,0.76,0.78,1.15,1.02,0.63
a_1,5.86,4.8,5.84,8.17,2.68,0.34,2.07,1.89,1.14,1.7,1.58,1.37,1.05,5.77,1.19,0.88
h_1,5.42,5.03,4.97,5.41,5.17,4.52,0.35,1.57,1.06,0.98,1.19,1.11,1.6,0.91,1.0,0.68
g_1,4.95,7.21,5.73,4.93,6.08,5.59,1.18,0.33,1.0,1.11,1.04,1.05,0.64,1.12,0.88,1.79
c_0,2.43,6.63,6.75,18.95,5.51,5.52,1.68,1.82,0.42,1.07,1.28,1.43,0.8,1.16,1.3,0.87
b_0,4.54,5.75,6.38,6.97,24.89,4.3,1.52,1.64,0.58,0.43,1.26,1.06,0.69,1.03,1.05,0.76
d_0,16.77,6.94,2.76,4.98,8.3,5.46,2.77,2.55,1.45,1.19,0.47,1.32,0.86,1.11,1.64,0.85
f_0,5.72,22.18,6.12,4.88,6.61,7.87,1.82,1.15,0.95,1.08,1.28,0.41,0.81,1.0,1.29,0.49
h_0,6.17,8.55,6.98,7.55,7.71,4.68,5.43,1.7,1.17,1.34,1.21,1.23,2.17,1.16,1.19,1.06
a_0,8.29,6.66,7.15,6.36,6.59,16.68,2.03,1.96,1.23,0.7,1.28,1.59,1.14,0.36,1.05,1.11
e_0,5.5,8.27,24.68,7.43,7.79,5.2,1.75,2.17,1.18,1.25,1.33,0.54,0.8,1.45,0.35,0.94
g_0,5.77,9.14,11.37,7.7,7.18,7.25,1.56,4.78,1.47,1.7,2.19,1.33,0.97,1.0,1.5,2.14
