,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.49,1.61,1.42,1.99,1.75,1.65,3.49,3.35,5.26,3.26,3.79,3.85,4.69,3.7,3.11,4.91
f_1,2.31,2.5,1.52,1.75,1.48,1.43,2.95,3.07,3.69,3.64,3.1,3.71,4.21,3.57,3.02,3.94
d_1,1.71,1.79,2.61,1.41,1.63,1.61,3.35,3.11,3.01,5.43,3.62,4.22,4.65,4.13,3.8,4.3
c_1,1.46,1.55,1.81,2.64,2.48,1.72,3.11,2.95,3.16,2.79,3.42,2.77,4.66,3.64,3.78,4.66
b_1,1.51,1.71,1.76,1.51,2.66,2.73,3.18,3.17,3.33,3.75,3.9,3.18,4.48,3.15,4.36,4.76
a_1,1.67,1.93,1.83,1.62,1.43,3.21,3.42,3.83,3.58,4.17,3.81,4.16,5.34,3.48,4.72,4.13
h_1,1.58,2.01,1.84,1.85,1.57,1.64,4.29,3.51,3.78,3.35,3.47,3.68,4.26,3.75,4.03,6.22
g_1,1.6,1.62,2.17,1.83,1.78,1.52,3.4,4.68,3.44,4.07,4.94,3.33,3.98,3.62,4.33,4.58
d_0,1.48,1.74,1.55,2.6,1.85,1.81,3.21,3.37,4.52,3.03,3.74,3.56,4.63,3.75,3.79,4.83
c_0,1.91,1.78,1.61,1.62,1.61,1.65,3.93,3.64,4.16,4.69,4.05,6.07,4.78,4.85,3.83,5.03
f_0,1.42,1.61,1.75,2.01,1.94,1.77,3.76,3.37,3.61,3.48,4.98,3.53,5.11,3.94,6.76,5.1
b_0,1.64,1.78,1.68,2.14,1.63,1.3,3.5,3.91,3.88,3.35,4.05,4.94,4.98,6.95,3.95,4.95
h_0,1.71,2.07,1.87,1.73,1.63,1.59,2.86,4.37,3.72,3.59,3.69,3.64,4.04,4.27,3.62,5.72
a_0,1.79,1.83,1.71,1.87,2.0,1.57,3.49,3.63,3.81,3.58,4.22,3.4,4.22,5.47,4.04,5.48
e_0,1.51,2.0,1.94,1.78,1.64,1.67,3.79,3.28,3.95,4.2,3.31,4.16,5.23,3.89,5.64,4.54
g_0,1.28,1.72,2.36,1.78,1.73,1.85,2.71,2.92,2.92,3.8,4.8,3.6,4.38,3.46,4.76,4.25
