,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,11233.39,6186.39,5905.61,10054.72,16474.74,77754.54,6092256.05,12088753.87,35760207.96,23363628.06,33732094.04,53718364.09,124365976.75,202505246.32,514903170.31,376001436.35
f_1,7539.03,12278.28,7385.0,8721.27,16039.71,86832.07,6238137.19,9939506.88,21976633.62,20377218.16,33619620.96,30111253.8,125828615.31,182107038.1,563814554.36,289203970.35
d_1,5047.8,6235.87,16925.39,7584.82,16483.82,94240.49,6273213.29,11774548.85,14993839.01,41055923.03,40814018.41,46295423.11,130420031.46,204780698.8,522957847.29,389160954.7
c_1,5102.7,5958.63,6986.13,20213.72,29922.68,85370.65,5886543.51,10484211.82,21191712.06,14695088.47,23730292.76,42411352.62,128930113.57,184589720.55,499072081.18,447055392.56
b_1,4505.54,5626.85,7493.91,8267.03,50427.48,174542.91,5037848.35,10397357.94,18450762.55,22007344.09,22254276.19,41307587.86,102960221.14,187679103.24,486004106.07,430128315.47
a_1,4744.65,5921.69,7964.6,9554.22,16993.69,363761.0,6628616.92,12589270.34,22038920.8,22307574.5,37699502.49,45890812.92,93384155.4,214865641.17,510831469.01,519624856.84
h_1,5574.44,7420.26,7737.73,9994.22,20037.49,77658.23,10593759.86,15653858.62,21267028.22,23816301.58,35981566.82,48498859.05,142267578.49,167548983.56,711177781.7,506314698.32
g_1,4836.78,4895.42,11500.6,9072.14,17644.47,103859.99,6494651.25,22347325.15,16408905.16,25743925.56,32481720.43,75574562.41,123488258.13,195473814.16,522315810.55,549679614.61
d_0,4881.07,6095.64,6344.21,14731.36,19179.91,97540.66,6150677.56,12199234.67,32217250.79,16659486.49,33012537.31,54483135.34,114272716.48,201447383.1,574454140.91,540544818.61
c_0,5252.7,7073.41,8877.41,7973.58,15898.27,105422.03,6118824.03,13491826.63,21970033.61,37107032.73,63941374.05,58652215.45,171186776.16,220437008.59,584770885.63,456628005.7
b_0,5207.38,7074.6,8372.44,10142.95,13109.02,93849.66,6167963.78,12574595.73,22411235.11,25648051.63,58026666.67,53234563.49,268381147.67,231052860.91,669363955.49,481530281.3
f_0,4357.46,5399.36,9497.27,10470.14,18463.42,107542.97,7385222.16,14522631.47,23463941.68,26750010.01,36335483.87,81509737.47,150487483.03,227818402.11,599788490.59,933452612.54
a_0,5134.94,6206.06,10166.74,9397.7,19222.19,59119.37,7194789.36,11324153.95,21140134.06,24578943.0,40679452.05,55785225.3,239082289.71,210210925.41,708928085.79,487754963.69
h_0,5390.77,8009.51,8754.27,9097.35,18420.77,93025.4,5113170.25,13068286.56,20294603.33,21659586.27,35000461.89,44871568.3,148299986.67,159478727.47,734290713.3,404107642.63
g_0,4957.0,6017.72,10952.96,8891.54,18463.42,95415.45,6300711.6,11331274.26,21940823.85,26536534.1,36876190.48,71843880.95,145539732.8,217974397.08,486971131.64,520769670.42
e_0,4236.64,6492.32,8308.32,10126.18,21652.55,114587.5,7443672.05,12701611.85,23412055.82,25618030.5,33512727.27,50848263.41,137708118.16,172794249.32,698662714.49,875509602.36
