,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.74,0.85,1.08,0.84,0.72,0.48,0.6,0.44,0.38,0.33,0.34,0.34,0.47,0.3,0.32
f_1,1.35,1.0,0.9,0.96,0.96,0.63,0.39,0.39,0.42,0.36,0.38,0.27,0.28,0.25,0.29,0.28
d_1,1.17,1.11,1.0,0.85,0.94,0.65,0.5,0.52,0.35,0.55,0.43,0.44,0.35,0.37,0.3,0.22
c_1,0.93,1.04,1.18,1.0,1.34,0.85,0.52,0.28,0.47,0.34,0.44,0.46,0.38,0.28,0.32,0.3
b_1,1.19,1.05,1.06,0.75,1.0,1.31,0.51,0.5,0.49,0.41,0.46,0.47,0.52,0.33,0.36,0.32
a_1,1.38,1.59,1.55,1.17,0.76,1.0,0.69,0.73,0.55,0.79,0.65,0.47,0.54,0.52,,0.59
h_1,2.04,2.65,1.99,1.98,1.94,1.35,1.0,1.01,1.14,0.79,0.8,0.64,0.58,0.53,0.57,0.63
d_0,1.67,2.56,1.76,3.52,2.1,1.37,1.05,1.0,1.08,1.01,0.86,0.91,0.66,0.61,0.72,0.63
g_1,2.26,2.38,2.76,2.15,2.01,1.76,0.87,0.93,1.0,0.92,0.87,1.02,0.68,0.81,0.71,0.57
c_0,2.72,2.88,1.81,3.08,2.28,1.2,1.33,0.98,1.05,1.0,1.29,0.88,0.79,0.78,0.78,0.74
b_0,2.97,2.63,2.26,2.41,2.08,1.42,1.22,1.13,1.21,0.82,1.0,0.91,0.89,0.86,1.06,0.84
f_0,2.93,3.61,2.17,2.3,2.13,2.02,1.53,1.06,1.02,1.22,1.14,1.0,0.98,1.1,0.75,0.72
h_0,3.0,3.58,2.87,2.71,1.97,1.89,1.79,1.37,1.49,1.19,1.2,1.06,1.0,1.0,0.75,1.13
e_0,2.34,4.27,2.75,4.08,2.78,1.91,1.96,1.48,1.22,1.38,1.11,0.92,1.03,1.0,0.84,0.9
a_0,3.03,3.62,3.42,3.37,2.65,,1.84,1.37,1.45,1.22,0.92,1.25,1.23,1.25,1.0,1.12
g_0,2.94,3.62,4.17,3.52,3.03,1.8,1.6,1.5,,1.34,1.22,1.47,0.92,1.04,0.92,1.0
