,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.97,0.35,0.52,0.76,0.5,0.45,0.97,2.03,0.78,0.87,1.04,1.13,0.97,1.1,0.64,0.82
d_1,0.47,19.63,0.59,0.42,0.5,0.51,0.89,0.37,0.92,2.15,1.07,1.24,0.98,0.86,1.06,1.24
f_1,1.02,0.52,17.52,0.51,0.53,0.47,0.73,0.84,0.71,0.79,1.05,0.29,1.14,1.05,0.7,0.8
c_1,0.44,0.51,0.55,19.39,1.19,0.47,0.84,0.96,0.75,0.2,0.67,0.78,0.75,0.88,0.86,1.05
b_1,0.46,0.58,0.59,0.42,21.63,1.43,0.82,0.75,0.96,0.85,0.3,0.88,0.96,0.56,0.89,0.79
a_1,0.6,0.56,0.55,0.62,0.45,33.15,0.8,0.62,0.86,0.94,0.78,0.82,0.92,0.31,0.82,0.9
h_1,0.52,0.83,1.06,0.66,0.65,0.6,5.58,0.97,1.42,0.97,1.33,0.88,0.54,1.17,1.2,1.51
d_0,0.69,0.27,0.65,1.85,0.63,0.66,1.31,3.05,1.04,0.72,1.44,0.85,1.31,1.27,1.0,1.17
g_1,0.53,1.27,0.46,0.74,0.54,0.63,1.09,0.92,6.93,1.01,1.07,2.69,0.86,1.0,1.26,0.65
c_0,0.6,1.0,0.86,0.25,0.5,0.64,1.12,1.28,1.14,3.73,3.02,1.38,1.66,1.34,1.34,1.33
b_0,0.75,0.83,0.76,0.82,0.27,0.43,1.3,1.31,1.12,1.01,3.71,1.21,1.54,3.11,1.19,1.1
f_0,0.67,0.94,0.32,0.68,0.63,0.74,1.3,1.07,1.5,1.41,1.46,4.46,1.14,1.54,3.44,1.3
h_0,0.65,0.94,0.88,0.86,0.44,0.68,0.59,1.13,1.61,1.03,1.0,1.14,0.69,1.3,1.23,2.04
a_0,0.64,0.85,0.71,0.83,0.73,0.21,1.27,1.05,1.53,1.11,1.08,1.34,1.67,4.34,1.44,0.98
e_0,0.32,0.91,0.77,0.65,0.66,0.54,1.49,1.56,1.39,1.16,1.41,1.18,1.77,1.56,6.03,1.86
g_0,0.46,1.54,0.71,0.61,0.63,0.6,1.17,1.03,0.69,1.44,1.35,1.8,1.29,1.19,1.4,0.7
