,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,9645.73,121.45,195.63,271.76,463.08,1592.93,271021.67,1146048.34,446784.2,666576.98,1049725.07,1224643.87,5271997.62,4882458.52,10324368.26,
f_1,217.5,12640.87,231.15,256.74,474.56,905.64,293313.53,523269.48,490608.82,765909.28,1015994.18,,7793049.84,7364524.9,8175775.6,6006206.27
d_1,156.63,158.44,15034.43,211.06,476.39,,259208.72,,781367.47,1521483.63,860546.56,1189857.16,4939306.25,8005111.04,11688021.24,6217754.48
c_1,120.88,163.29,160.87,23072.67,1021.87,1167.42,266280.74,737756.42,553366.59,,1007054.23,972300.13,5740357.37,6645264.94,11856349.99,6322875.02
b_1,129.41,159.21,214.54,232.52,43967.5,3236.86,183573.06,797241.22,435777.93,690525.43,,1382494.78,3468893.89,8031457.78,8991101.35,11815919.93
a_1,120.19,200.73,,366.45,398.78,197997.83,210784.27,736868.21,,609909.75,586963.39,809274.63,5512929.21,,14170005.19,8327818.97
h_1,434.06,937.08,677.23,771.48,1149.83,7183.79,12616058.69,2397034.72,2263136.39,3310267.32,3692546.76,3510097.37,,24535276.45,62258281.15,39130610.32
d_0,660.77,867.11,,2532.69,2260.94,8136.36,1124760.06,19110439.99,2274470.14,3363006.43,4356437.04,5835305.73,35006690.88,36665594.89,67330835.51,33575258.24
g_1,441.98,624.61,1060.91,1099.52,1628.64,,848786.82,1763734.19,33276486.98,2679258.16,4815074.28,5036311.51,28304339.51,27801644.54,,
c_0,606.1,1158.95,756.52,,1185.06,6396.93,1611396.9,2066206.37,2591626.71,25473818.99,8795308.1,5130448.18,27959653.42,32367201.66,76998559.55,43995616.82
b_0,599.93,787.27,760.53,1032.98,,8849.27,1361598.24,3404036.74,2132388.71,3447342.28,37538931.73,5127120.61,37837473.64,61323020.34,64836336.26,42867904.55
f_0,599.38,,844.67,1389.54,1852.4,6745.52,1667513.84,3410295.09,2083397.45,3428285.55,4910076.35,44504149.91,31217560.86,42914687.59,50149496.61,76139197.04
h_0,963.34,1639.99,1543.66,1808.78,3325.93,10152.19,,3781908.73,6078608.86,5471459.28,8137759.39,9790458.93,,54747567.68,96473605.06,52918381.26
a_0,615.93,565.78,1009.04,1180.4,2528.99,,908635.81,3994051.81,2765359.03,4449349.76,4511976.19,4211056.12,35738594.39,435309722.85,64663148.58,
g_0,1089.95,899.05,2283.63,1715.84,3409.77,8947.34,1625598.6,4200355.21,,3476656.42,8212554.98,15613542.35,39281550.89,43654923.24,,67250442.85
e_0,,986.31,977.23,2400.7,1857.37,10283.14,852916.64,2599396.42,,3290581.85,5199999.6,7137048.17,26861941.67,,46416033.08,469427034.88
