,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.18,0.06,0.02,0.03,0.03,0.03,0.06,0.07,0.04,0.05,,0.06,0.07,0.05,0.04,0.07
e_1,0.03,2.19,0.03,0.02,0.02,0.02,0.04,0.12,0.05,0.06,0.05,0.06,0.1,,0.05,0.04
c_1,0.03,0.03,2.36,0.02,0.05,0.03,0.06,0.07,0.04,,0.06,0.05,0.09,,0.04,0.09
d_1,0.03,0.03,0.03,2.39,0.02,0.02,0.07,,0.06,0.11,0.08,0.04,0.06,0.05,0.05,0.07
b_1,0.03,0.03,0.03,0.03,2.6,0.04,0.05,0.07,0.04,0.05,0.05,,0.1,,0.05,0.07
a_1,0.03,0.03,0.04,0.03,0.03,2.98,0.05,0.08,0.04,,0.05,,0.09,0.06,,0.07
h_1,0.19,0.08,0.13,0.08,0.1,0.07,2.76,0.22,0.27,0.33,0.14,0.19,,0.14,0.21,0.3
d_0,0.19,0.15,0.2,,0.13,0.09,0.28,2.02,0.2,0.33,0.37,0.21,0.43,0.16,0.24,0.38
g_1,0.13,0.08,0.07,0.19,0.08,0.08,0.18,0.23,3.03,0.15,0.39,0.21,0.24,,0.19,
c_0,0.15,0.17,,0.17,0.11,,0.27,0.23,0.23,2.03,0.43,0.58,0.37,0.26,0.27,0.25
f_0,,0.15,0.14,0.13,0.13,0.1,0.28,0.3,0.21,0.36,2.19,0.3,0.49,0.47,,0.4
b_0,0.14,0.17,0.19,0.1,,,0.28,0.3,0.3,0.35,0.3,2.15,0.49,0.2,0.38,0.32
h_0,0.32,0.2,0.22,0.21,0.23,0.15,,0.46,0.5,0.46,0.4,0.58,,0.3,0.24,0.54
e_0,0.11,,,0.18,,0.16,0.3,0.44,,0.38,0.26,0.4,0.4,2.77,,0.46
a_0,0.18,0.11,0.13,0.13,0.1,,0.29,0.34,0.21,0.38,,0.31,0.36,,2.83,
g_0,0.15,0.21,0.18,0.35,0.25,0.16,0.48,0.31,,0.51,0.68,0.41,0.55,0.41,,
