,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,8541.28,135.87,189.67,298.9,341.91,2715.89,124230.27,325275.14,1412329.76,890112.15,1282179.63,1282214.01,6616598.85,3921487.08,,9958924.78
f_1,185.71,9769.24,183.02,204.68,491.7,2120.21,182298.06,410057.34,675911.66,893055.0,1573140.35,,5890328.84,4240136.39,4627849.69,18599548.65
d_1,148.51,117.84,19006.2,200.43,361.11,2167.2,150988.89,399055.77,,1676111.63,1212053.93,1764082.97,5176320.02,3633005.2,11895609.34,13811495.05
c_1,158.16,126.61,246.37,23523.98,656.04,1729.63,211919.3,362155.16,550361.39,,1003253.54,1732802.19,4862085.0,6572143.34,9656086.38,11088077.64
b_1,118.17,147.06,247.5,335.18,37698.12,4531.86,185085.58,497404.46,561523.93,668542.46,,1487455.58,5342290.92,3332881.81,9094091.93,12183196.42
a_1,87.29,81.11,327.81,285.63,361.13,358910.76,168701.41,499717.97,542438.14,,,2054764.22,6522564.5,,9517072.96,20081024.33
h_1,378.09,720.63,815.87,1073.36,1567.31,10602.1,8463187.38,1967639.5,2563020.22,3305786.99,3791872.31,5687960.96,,16480325.46,31644267.58,62251175.43
g_1,408.13,416.72,1556.92,1164.71,771.84,11035.53,826287.53,28202832.83,1992617.62,2453259.09,3617984.68,7735209.11,18255461.58,19801311.49,,
d_0,385.24,643.89,,2612.91,2353.81,10594.85,1298112.95,2799078.15,20900284.31,3443873.33,5721070.51,5073006.41,29523186.67,18944801.86,32307958.19,75311390.5
c_0,592.45,855.8,1283.68,,1307.16,,1151636.26,2498985.19,3293895.53,25115960.78,10104659.74,8006841.6,33727437.93,24917510.36,49859222.4,51918344.55
b_0,556.1,655.81,1121.47,1197.08,,,1074690.46,2685984.08,3023590.38,3481991.98,46250364.97,5354840.1,33636646.54,58325431.66,,67007580.31
f_0,526.24,,1090.27,1249.99,2402.22,12212.02,685783.14,2493068.1,2593438.71,4217634.93,8257622.49,59642859.88,38222468.19,,60669149.23,73149661.37
h_0,923.03,1662.49,1078.36,2034.64,2952.98,12617.78,,4359220.06,5592226.0,4993519.0,9228073.33,9480700.5,,33192224.57,53670050.76,173910135.77
a_0,666.77,621.29,1428.8,1224.8,1743.56,,806017.85,2968719.25,2148340.53,4750170.12,4086478.93,,25305588.57,274304943.63,,60595371.67
e_0,,700.27,1238.79,1303.8,2210.85,17561.25,860663.12,,2940313.52,4907838.19,,5717880.1,44368178.83,,465301525.91,53662850.33
g_0,1040.24,726.97,2250.53,1910.83,3187.69,17015.36,1141661.64,,4668388.08,5094940.53,7969233.11,16323625.46,42769660.45,48490498.17,58804905.33,
