,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.14,5.82,11.12,12.91,10.89,13.35,3.21,3.23,2.46,2.02,2.77,2.03,1.48,2.05,5.92,1.64
f_1,10.45,1.14,11.27,9.76,9.85,9.36,2.63,3.31,2.14,2.28,7.51,2.5,1.09,2.47,1.8,1.88
d_1,15.32,11.92,1.14,12.17,16.43,12.52,3.01,2.1,10.57,2.33,2.11,2.42,1.72,1.91,2.81,0.9
c_1,13.61,13.19,19.44,1.14,13.61,10.68,3.38,5.52,1.39,12.09,2.23,2.88,1.66,2.85,3.21,1.62
b_1,13.66,15.91,14.15,8.25,1.15,16.07,4.36,5.61,2.6,3.19,3.97,12.02,2.62,3.44,2.77,2.48
a_1,23.07,29.89,20.4,27.23,12.07,1.15,7.18,6.77,5.29,4.16,6.8,4.43,3.23,15.3,3.64,4.69
h_1,22.52,27.05,28.42,28.8,22.95,22.99,1.89,7.48,5.2,5.34,4.36,5.88,14.72,4.69,4.03,3.59
g_1,27.82,37.06,26.39,41.03,30.18,43.24,7.01,1.89,7.4,5.77,6.8,5.88,3.88,5.82,6.89,13.04
d_0,15.89,41.64,79.17,35.65,35.6,38.64,10.11,12.6,2.8,8.22,6.34,6.52,5.34,7.25,6.42,6.4
c_0,39.41,45.75,16.46,136.14,32.67,30.27,10.35,10.41,7.66,2.64,6.34,8.87,6.47,9.83,6.65,6.64
f_0,33.48,115.81,33.59,37.91,34.71,38.64,11.27,5.74,7.57,7.91,2.6,7.31,5.55,8.1,6.02,5.33
b_0,39.82,42.11,34.64,53.48,99.18,37.83,12.19,9.57,9.65,4.33,6.01,2.56,6.19,8.43,9.24,5.87
h_0,45.58,57.02,42.09,47.54,55.54,58.58,42.38,17.51,10.25,10.68,10.77,8.2,19.41,8.6,9.72,8.19
a_0,46.7,78.85,60.45,43.41,59.09,151.33,19.35,12.6,10.57,9.71,9.52,5.82,8.06,2.85,8.42,7.04
e_0,130.45,67.38,55.42,48.31,63.11,82.55,14.83,12.17,13.88,14.24,5.19,11.04,9.49,8.79,2.87,7.33
g_0,80.49,58.83,60.45,57.6,61.71,55.03,14.13,51.29,13.32,12.33,10.38,13.2,7.91,14.75,10.53,32.0
