,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.09,1.55,2.5,2.58,2.32,2.16,0.68,0.76,0.49,0.48,0.52,0.62,0.44,0.34,0.55,0.43
f_1,2.29,1.09,2.21,2.37,2.29,2.13,0.51,0.8,0.54,0.51,0.51,0.63,0.41,0.25,0.46,0.32
d_1,2.83,2.81,1.09,2.69,2.38,2.22,0.64,0.48,0.7,0.52,0.57,0.5,0.5,0.35,0.47,0.23
c_1,2.18,2.76,3.41,1.09,2.76,2.62,0.77,0.76,0.36,0.69,0.55,0.56,0.52,0.36,0.53,0.4
b_1,3.13,3.47,3.14,1.84,1.1,3.14,0.93,0.88,0.61,0.83,0.92,0.72,0.6,0.46,0.57,0.47
a_1,4.82,5.12,4.63,4.51,2.45,1.12,1.63,1.38,1.05,1.12,1.2,0.84,1.16,0.74,0.9,0.75
h_1,9.21,10.04,8.92,9.12,9.16,8.26,1.53,2.56,2.12,2.03,2.1,1.93,1.75,1.84,1.62,1.33
g_1,10.97,12.57,10.13,10.21,10.02,9.27,2.4,1.53,2.43,2.43,2.5,2.1,2.16,1.57,1.8,1.72
d_0,7.51,11.31,15.87,12.04,13.0,12.04,3.51,3.5,1.86,2.47,2.75,2.43,2.5,1.83,2.53,2.01
c_0,12.73,13.03,7.25,18.73,14.26,11.39,3.63,3.19,3.61,1.75,2.74,2.18,2.57,1.79,2.29,1.44
b_0,12.78,12.8,9.8,15.99,18.39,11.67,3.78,3.66,3.13,1.59,1.74,2.52,2.25,1.82,2.48,1.88
f_0,16.51,23.66,14.41,16.07,14.48,14.01,4.18,3.03,3.77,3.19,3.05,1.82,2.94,2.59,2.66,1.53
a_0,15.55,18.83,16.02,17.4,20.11,18.01,4.57,4.4,3.77,2.81,2.16,3.02,2.09,2.7,3.5,2.56
h_0,18.11,19.03,17.02,19.07,16.16,14.55,6.4,4.6,3.84,3.45,3.72,3.2,3.26,3.22,3.19,2.46
e_0,27.04,27.04,19.89,19.66,18.51,16.88,5.37,5.09,4.89,4.08,4.21,2.07,3.55,2.43,2.2,2.37
g_0,28.7,27.66,21.72,26.83,22.01,20.55,5.44,8.25,5.44,4.45,5.55,4.31,4.14,2.94,4.32,3.84
