,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,14.82,8.7,12.83,14.61,9.44,3.6,2.32,4.16,3.29,2.25,2.28,1.74,2.45,,2.44
d_1,23.19,0.17,13.78,13.24,11.5,13.91,3.25,,2.02,2.11,2.62,2.69,1.45,2.8,3.05,1.21
f_1,14.5,11.54,0.16,15.11,12.31,12.96,2.3,2.53,4.2,2.02,2.94,,1.53,3.22,2.31,1.85
c_1,12.19,15.98,13.33,0.15,14.72,9.78,3.41,1.48,3.13,,2.47,2.74,1.94,1.97,3.95,2.03
b_1,12.46,12.2,13.13,6.57,0.13,16.99,3.73,2.84,3.89,2.65,,2.48,2.05,3.7,3.17,1.69
a_1,22.51,17.39,13.61,11.56,7.36,0.09,3.31,2.27,3.14,2.96,,2.52,1.3,,,1.87
h_1,2.78,3.43,4.0,3.05,3.47,4.09,0.07,0.56,1.17,0.76,0.55,0.72,,0.7,0.56,0.44
d_0,1.47,,2.3,2.49,2.84,4.06,0.74,0.09,0.75,0.58,0.61,0.55,0.32,0.46,0.34,0.42
g_1,3.73,3.55,4.58,3.48,2.82,2.97,0.7,0.84,0.06,0.58,0.87,0.69,0.38,0.76,0.75,
c_0,2.49,1.56,2.79,,2.48,2.66,0.78,0.62,0.79,0.08,0.47,0.4,0.63,0.41,0.47,0.27
b_0,2.59,3.0,2.14,3.53,,,0.58,0.47,0.82,0.34,0.07,0.48,0.4,0.75,0.44,0.33
f_0,2.28,1.9,,3.1,2.38,3.57,0.7,0.69,0.43,0.43,0.48,0.07,0.44,0.51,0.61,0.34
h_0,1.79,2.05,1.66,2.09,1.69,1.36,,0.28,0.64,0.28,0.31,0.44,,0.22,0.36,0.19
a_0,2.45,2.54,2.11,3.01,4.04,,0.74,0.54,0.71,0.71,0.27,0.45,0.3,0.05,,
e_0,,2.16,2.54,2.63,2.58,,0.68,0.71,0.62,0.71,0.75,0.29,0.34,,0.04,0.31
g_0,2.15,1.38,1.72,1.23,2.13,2.15,0.64,0.4,,0.36,0.37,0.44,0.13,,0.31,
