,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,9069.32,1343.36,1432.81,2588.98,3426.15,13848.03,1351707.46,2550339.76,6134607.65,11085847.66,10000993.05,10003472.83,25212007.79,53129814.49,10780978.91,108765244.81
f_1,1868.94,12982.23,1149.4,2661.3,2954.56,12093.39,1245952.67,1789761.98,4835315.78,6805190.41,2399394.92,10558225.67,29272990.45,48889983.43,34183524.34,99447150.02
d_1,831.33,1218.13,13890.93,1852.89,3699.21,15539.4,1266038.08,2460407.23,10377015.22,2094601.16,12048390.22,11522531.97,27772725.6,40367211.77,61881794.25,108711663.92
c_1,1041.78,1049.03,1289.28,28762.24,6507.61,11720.93,1465716.65,2119784.77,655716.89,6281523.05,12373805.23,9139221.14,30192468.84,44855148.06,44478997.33,100438072.68
b_1,897.48,1529.77,1243.07,2406.6,43796.73,21462.83,1419552.13,2199360.86,4690628.36,6042754.65,11939058.19,2533506.54,20061371.58,63399447.14,39178194.76,100559819.89
a_1,1264.2,1216.51,1245.51,1955.32,3142.04,237248.47,1300089.31,2056768.22,5399707.92,5978142.71,11336774.51,10054865.87,8083075.82,62755523.73,54957192.75,102245003.39
h_1,1346.81,3248.35,2363.64,4386.44,4970.81,21660.98,8471284.24,4844522.77,9143101.13,11507688.29,18461243.08,24712153.66,67738355.12,38135858.36,93849166.64,287041634.78
g_1,1375.72,2190.46,3462.77,5717.78,5804.3,18479.96,1310900.04,17303809.11,8405421.06,7806564.02,27589531.86,21959056.17,52385528.99,95529548.31,47392581.16,101373826.0
c_0,1359.13,2683.56,3244.18,,4497.51,22742.5,2397863.93,3940519.22,25509290.93,9615171.43,23463634.74,48414262.24,63613330.09,84907433.79,108593784.55,258641404.75
d_0,1688.02,2852.9,713.88,8324.97,5349.36,14967.08,2245253.51,4653670.28,9190289.14,32273581.38,18529995.95,22001845.66,59841748.16,112641892.56,80605669.54,183231023.54
f_0,1314.61,792.55,3429.57,5440.22,4989.33,23585.59,2410697.8,4207423.87,11381975.53,16136269.32,65545017.89,22573164.3,53057969.06,99872584.5,223155343.47,229421859.11
b_0,1431.56,2546.32,2737.07,5510.82,1388.48,20109.88,2504595.42,4215186.65,10625499.89,12447851.6,26764320.71,63447112.03,122583926.63,94859092.76,88299598.76,240136720.4
a_0,1614.17,3332.83,2872.82,4578.1,4507.04,7086.0,2215874.75,4148609.03,9463881.5,12014081.94,19938234.41,18513018.72,222399592.4,94905172.18,103511415.36,224176265.63
h_0,1394.6,3782.71,2630.31,3700.59,5779.44,22039.54,792186.46,5112665.65,9295406.82,9878719.0,16950431.34,19193644.4,47556309.9,39702976.44,64889338.01,223303607.16
e_0,436.74,3093.27,2498.44,4763.18,8339.68,20131.1,2345206.35,3843974.27,10933207.91,13640043.81,20472726.39,27849169.95,55849290.78,102206583.84,384199668.86,210954632.71
g_0,1416.33,1943.31,4509.1,4200.52,4479.51,18652.51,1635299.19,1281064.75,8569971.64,9127077.34,29116943.03,22293239.15,62996670.26,85940914.84,106069110.21,94073968.61
