,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.09,1.49,2.25,2.5,2.35,2.09,0.68,0.73,0.52,0.47,0.47,0.65,0.33,0.46,0.34,0.66
f_1,2.16,1.09,2.14,2.48,2.12,2.12,0.52,0.71,0.52,0.44,0.46,0.62,0.24,0.48,0.34,0.43
d_1,2.87,2.74,1.09,2.67,2.41,2.36,0.7,0.52,0.81,0.56,0.49,0.53,0.36,0.43,0.26,0.44
c_1,2.21,2.77,3.02,1.09,2.71,2.58,0.78,0.77,0.33,0.66,0.54,0.5,0.4,0.5,0.39,0.48
b_1,3.09,3.5,3.6,1.88,1.1,3.02,0.89,0.98,0.62,0.86,1.03,0.65,0.46,0.76,0.58,0.55
a_1,5.2,4.83,4.87,4.77,2.49,1.12,1.68,1.38,1.23,1.04,1.5,1.02,0.68,1.5,0.66,0.86
h_1,9.19,10.48,8.34,9.4,8.59,8.79,1.5,2.34,2.02,1.81,1.69,1.86,1.57,1.65,1.34,1.53
g_1,11.96,11.38,11.33,11.43,10.29,11.88,2.42,1.53,2.44,2.21,1.88,2.14,1.14,1.96,1.61,1.77
d_0,7.71,10.63,14.78,11.64,12.95,10.24,3.38,3.94,1.83,2.42,2.52,2.65,2.0,2.32,2.11,2.26
c_0,12.3,13.5,7.87,15.65,12.65,10.72,3.92,3.86,3.21,1.85,2.87,2.71,1.85,2.45,1.79,2.43
b_0,13.38,14.18,10.87,22.08,17.58,13.53,3.48,3.48,3.26,1.72,1.81,2.8,1.86,2.59,1.65,2.47
f_0,13.92,19.68,13.89,13.54,13.67,12.28,4.03,2.57,3.14,3.08,2.69,1.75,1.94,2.79,1.39,2.72
h_0,19.07,18.59,16.76,20.4,17.81,13.94,6.36,5.18,3.67,3.64,3.79,3.43,3.49,3.28,2.72,2.98
a_0,17.99,20.44,18.58,22.08,24.17,26.49,5.76,6.02,4.66,3.44,2.41,4.42,3.13,2.03,2.93,3.26
g_0,24.29,28.03,21.67,25.38,23.34,18.0,5.22,7.1,5.1,4.35,4.13,4.45,2.48,4.47,3.55,3.63
e_0,31.26,37.37,21.39,23.87,23.96,22.61,6.77,5.3,4.85,4.27,4.84,2.83,3.7,4.42,3.01,2.29
