,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.41,0.46,0.72,0.76,0.68,0.67,0.4,0.39,0.37,0.29,0.33,0.38,0.28,0.3,0.31,0.43
f_1,0.71,0.41,0.64,0.7,0.64,0.58,0.3,0.37,0.29,0.31,0.29,0.35,0.18,0.27,0.28,0.26
d_1,0.73,0.73,0.39,0.61,0.67,0.65,0.36,0.26,0.41,0.33,0.3,0.28,0.26,0.17,0.3,0.28
c_1,0.55,0.65,0.84,0.38,0.74,0.6,0.35,0.36,0.2,0.33,0.27,0.28,0.26,0.25,0.26,0.26
b_1,0.66,0.77,0.68,0.45,0.37,0.74,0.39,0.39,0.3,0.38,0.35,0.3,0.28,0.28,0.3,0.33
a_1,0.7,0.83,0.66,0.65,0.43,0.3,0.41,0.41,0.35,0.29,0.32,0.28,0.28,0.29,0.38,0.29
h_1,0.63,0.67,0.6,0.64,0.64,0.55,0.24,0.36,0.3,0.27,0.27,0.32,0.26,0.27,0.27,0.26
g_1,0.6,0.66,0.63,0.63,0.67,0.58,0.28,0.22,0.29,0.3,0.29,0.31,0.21,0.26,0.33,0.3
d_0,0.43,0.61,0.77,0.73,0.66,0.62,0.37,0.41,0.24,0.27,0.31,0.3,0.26,0.27,0.28,0.31
c_0,0.7,0.68,0.42,0.84,0.56,0.72,0.36,0.33,0.37,0.23,0.4,0.28,0.26,0.26,0.28,0.29
b_0,0.62,0.63,0.52,0.88,0.82,0.6,0.34,0.35,0.3,0.18,0.21,0.28,0.26,0.24,0.32,0.27
f_0,0.55,0.8,0.57,0.69,0.65,0.63,0.28,0.24,0.3,0.26,0.31,0.21,0.28,0.2,0.29,0.3
h_0,0.61,0.72,0.61,0.59,0.57,0.53,0.41,0.35,0.28,0.29,0.25,0.25,0.26,0.25,0.25,0.25
g_0,0.6,0.67,0.71,0.61,0.61,0.56,0.27,0.35,0.28,0.26,0.25,0.28,0.21,0.27,0.28,0.25
a_0,0.63,0.64,0.56,0.65,0.75,0.72,0.32,0.29,0.3,0.27,0.17,0.25,0.25,0.25,0.19,0.26
e_0,0.67,0.8,0.61,0.67,0.57,0.6,0.32,0.29,0.28,0.28,0.28,0.18,0.26,0.24,0.27,0.18
