,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10612.22,152.21,272.53,321.56,495.9,914.42,208883.42,276617.49,844497.68,1220209.37,1525900.36,,6320142.23,6512628.16,7504509.28,7953586.43
d_1,150.95,13381.21,142.75,241.85,350.66,910.05,183815.01,472808.69,1269352.64,,1598541.44,2658398.0,5726283.3,6497775.6,12864705.35,7915609.03
e_1,166.28,165.17,13931.9,226.33,340.31,1110.24,180838.7,384272.77,659011.69,1746325.73,1333254.29,1495335.47,7394052.97,5566208.67,11524528.6,
c_1,172.52,146.81,194.73,26081.69,742.18,1259.07,150059.22,383491.88,,1396039.68,1007988.61,1766449.78,6135554.9,6312383.47,11435762.15,7618341.85
b_1,143.65,230.69,137.05,417.73,39280.42,1960.03,184521.61,397172.96,524683.81,880635.54,,1839922.03,6213231.2,4834511.42,7090126.06,10332308.41
a_1,180.84,156.88,214.99,180.77,334.53,144887.95,211371.5,466520.62,681168.46,777431.23,,,7490135.86,,10930611.0,
h_1,683.14,545.34,676.68,1303.57,1598.99,3614.29,7630511.19,1938345.38,3131696.33,3497346.75,6786487.08,6138312.38,,16773955.9,56769460.34,34746211.63
g_1,572.67,925.82,563.42,968.75,1522.83,4395.22,580097.34,26591675.62,2843362.28,2317049.95,6182219.6,10400670.34,24631023.7,31469088.21,,
c_0,768.56,898.81,885.25,,1525.77,6138.5,794601.47,2606228.54,22183541.07,4854095.46,16189273.37,10564289.41,35356017.69,,59155864.14,28920969.85
d_0,851.18,,850.72,3241.32,1874.49,6083.45,682198.02,2905712.9,2664799.91,31323331.31,11456274.49,7852161.71,29959589.53,26258974.26,45387371.52,48103396.1
b_0,555.35,1021.9,940.98,1195.66,,,894313.22,1809641.44,3296157.67,5242927.77,61042379.99,11818049.89,42464071.11,66388473.42,54177811.06,49431013.46
f_0,,836.5,869.65,1456.45,2452.72,,885552.56,3086074.54,3113228.52,5364620.49,8550965.25,70469250.85,32587273.14,28486524.72,57845554.55,75867522.59
h_0,1024.94,1588.87,1421.35,2377.84,2708.59,9989.13,,4198685.62,6578060.71,6635188.5,11036028.37,10314714.39,,59625640.81,104337650.49,59082018.08
a_0,560.9,957.53,1125.32,1380.13,2197.24,,904966.29,1720216.21,,4004874.07,5698973.32,8135001.16,40365666.87,403075760.51,63815912.22,
g_0,1076.11,1782.15,1058.73,1985.89,2986.0,10094.51,964295.37,,4790295.08,8708033.88,10561034.48,18951870.83,39427682.63,62246548.1,,79819921.0
e_0,554.82,831.33,,1621.15,2309.28,,821414.8,,4179634.23,3367270.89,9256612.09,9771219.52,37120976.23,,60009983.35,477381918.48
