,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.61,0.06,0.05,0.06,0.07,0.07,0.3,0.23,0.76,0.42,0.43,0.45,0.55,0.41,,0.44
f_1,0.11,35.95,0.07,0.08,0.06,0.05,0.23,0.23,0.36,0.41,0.36,,0.59,0.48,0.38,0.73
d_1,0.06,0.07,40.77,0.05,0.06,0.08,0.45,0.3,,0.71,0.35,0.34,0.71,0.38,0.3,0.47
c_1,0.07,0.06,0.06,42.91,0.14,0.07,0.21,0.32,0.44,,0.37,0.39,0.62,0.31,0.42,0.61
b_1,0.07,0.06,0.07,0.08,47.55,0.11,0.29,0.35,0.41,0.34,,0.33,0.6,0.41,0.43,0.51
a_1,0.07,0.06,0.07,0.05,0.09,72.28,0.28,0.32,0.41,0.4,0.24,0.69,0.51,,,0.45
h_1,0.22,0.41,0.3,0.36,0.26,0.18,28.41,1.36,1.09,1.27,1.41,1.02,,1.14,2.1,3.3
g_1,0.2,0.24,0.43,0.22,0.26,0.38,0.58,33.29,1.27,1.9,1.71,2.45,2.39,,,
d_0,0.37,0.41,,0.64,0.39,0.32,1.55,0.91,18.01,1.48,1.98,2.23,2.92,1.78,2.0,3.64
c_0,0.38,0.34,0.36,,0.3,0.35,1.83,1.96,2.09,17.58,3.85,2.58,2.58,1.81,1.46,2.54
b_0,0.38,0.32,0.32,0.29,,0.27,1.64,1.72,1.37,1.7,21.89,2.01,3.31,4.58,2.35,3.66
f_0,0.28,,0.39,0.36,0.34,0.35,1.79,1.49,2.49,1.92,3.19,21.48,3.36,,4.7,2.49
h_0,0.48,0.87,0.53,0.57,0.53,0.7,,2.79,3.86,3.22,2.1,3.51,,2.22,1.84,5.37
a_0,0.41,0.32,0.31,0.53,0.25,,1.66,,1.38,2.06,1.85,,5.0,32.78,,3.85
e_0,,0.24,0.45,0.37,0.27,,2.64,1.64,1.25,2.69,1.42,2.52,3.63,,36.24,
g_0,0.61,0.65,0.96,0.35,0.67,0.62,2.29,,2.4,3.26,2.09,2.68,4.46,2.97,2.69,
