,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.27,0.29,0.25,0.23,0.18,0.21,0.18,0.14,0.33,0.17,0.15,0.18,0.12,0.06,0.16
f_1,0.49,0.94,0.3,0.23,0.2,0.21,0.16,0.19,0.12,0.16,0.17,0.05,0.14,0.12,0.1,0.13
d_1,0.29,0.3,0.94,0.27,0.21,0.22,0.2,0.32,0.16,0.09,0.16,0.16,0.17,0.13,0.14,0.11
c_1,0.35,0.32,0.29,0.94,0.38,0.17,0.19,0.08,0.19,0.15,0.16,0.19,0.17,0.12,0.13,0.17
b_1,0.32,0.35,0.34,0.24,0.93,0.36,0.24,0.18,0.14,0.19,0.06,0.18,0.19,0.13,0.13,0.15
a_1,0.39,0.3,0.31,0.32,0.2,0.93,0.25,0.21,0.19,0.16,0.24,0.22,0.2,,0.16,0.18
h_1,0.49,0.78,0.51,0.5,0.37,0.31,0.72,0.31,0.42,0.35,0.36,0.34,0.21,0.23,0.26,0.33
c_0,0.64,0.64,0.51,0.28,0.42,0.38,0.49,0.62,0.4,0.36,0.62,0.37,0.4,0.36,0.3,0.33
g_1,0.49,0.62,0.74,0.45,0.65,0.42,0.33,0.35,0.73,0.31,0.36,0.39,0.26,0.24,0.21,0.14
d_0,0.49,0.74,0.35,0.93,0.45,0.36,0.33,0.37,0.36,0.6,0.39,0.31,0.39,0.25,0.25,0.36
b_0,0.58,0.67,0.7,0.53,0.51,0.26,0.4,0.37,0.35,0.36,0.62,0.39,0.29,0.55,0.29,0.3
f_0,0.55,0.43,0.65,0.6,0.5,0.46,0.42,0.43,0.37,0.44,0.34,0.62,0.36,0.34,0.46,0.3
h_0,0.68,0.88,0.65,0.6,0.53,0.31,0.28,0.34,0.47,0.33,0.43,0.35,0.19,0.25,0.25,0.35
a_0,0.73,0.77,0.75,0.69,0.55,,0.42,0.42,0.33,0.47,0.32,0.32,0.46,0.61,0.3,0.31
e_0,0.38,0.89,0.62,0.59,0.48,0.47,0.54,0.47,0.48,0.43,0.46,0.35,0.5,0.35,0.62,0.34
g_0,0.61,0.74,0.98,0.59,0.49,0.31,0.34,0.42,0.29,0.4,0.45,0.48,0.37,0.33,0.32,0.24
